Student_ID,Course_ID,Actual,Predicted,Error
40411202,40BR472,3,2.9297,0.0703
40311247,40BA052,5,3.9021,1.0979
40211206,40BR122,5,2.903,2.097
40511218,40B0292,5,3.4977,1.5023
40211202,40BR342,2,3.2222,1.2222
40311256,40BA122,3,4.0881,1.0881
40211109,40BA091,1,2.903,1.903
40311211,40BA062,1,2.9838,1.9838
40311211,40BA012,1,3.0814,2.0814
40211148,40BQ021,4,2.903,1.097
40211220,40BA082,4,4.0177,0.0177
40311215,40BR372,4,3.6962,0.3038
40311207,40BA222,5,3.6909,1.3091
40211250,40BR222,4,3.2283,0.7717
40211133,40BA121,3,2.903,0.097
40311259,40BA122,1,3.33,2.33
40211138,40BQ331,3,3.736,0.736
40211121,40BC051,3,2.4251,0.5749
40311108,40BA061,2,2.903,0.903
40211125,40BC051,4,3.6682,0.3318
40411111,40BC011,1,1.0,0.0
40211138,40B0291,2,2.903,0.903
40311155,40BA011,4,2.903,1.097
40211217,40BA102,5,3.8142,1.1858
40411202,40BA062,2,2.9711,0.9711
40211106,40BQ051,4,2.851,1.149
40511204,40B0292,5,2.5023,2.4977
40211150,40BC011,3,3.6903,0.6903
40311108,40BA141,2,3.1328,1.1328
40411129,40B0291,2,2.903,0.903
40311109,40BA011,1,2.903,1.903
40411145,40BA051,1,2.903,1.903
40211125,40BA091,1,2.903,1.903
40311226,40BR072,4,3.4254,0.5746
40211135,40BA011,4,2.903,1.097
40211217,40BA092,5,2.903,2.097
40311134,409A011,2,2.903,0.903
40211102,40BQ391,4,3.8667,0.1333
40211117,40BQ051,4,2.5551,1.4449
40311236,40BA082,4,3.9992,0.0008
40311244,40BR072,3,3.2117,0.2117
40411248,40BA012,4,3.5791,0.4209
40311246,40BA052,3,1.7112,1.2888
40311140,40BQ341,5,3.6443,1.3557
40411120,40BC071,4,4.4108,0.4108
40211232,40BA012,1,1.9907,0.9907
40211102,40BA151,4,2.903,1.097
40411118,40BA081,1,2.903,1.903
40211156,40BQ171,3,2.903,0.097
40211207,40BR082,5,2.903,2.097
