Student_ID,Course_ID,Actual,Predicted,Error
40411202,40BR472,3,2.903,0.097
40311247,40BA052,5,2.8214,2.1786
40211206,40BR122,5,4.3235,0.6765
40511218,40B0292,5,3.7143,1.2857
40211202,40BR342,2,3.6154,1.6154
40311256,40BA122,3,3.3188,0.3188
40211109,40BA091,1,1.1013,0.1013
40311211,40BA062,1,3.0548,2.0548
40311211,40BA012,1,2.679,1.679
40211148,40BQ021,4,1.4286,2.5714
40211220,40BA082,4,3.1714,0.8286
40311215,40BR372,4,2.903,1.097
40311207,40BA222,5,3.5,1.5
40211250,40BR222,4,3.3117,0.6883
40211133,40BA121,3,2.9737,0.0263
40311259,40BA122,1,2.903,1.903
40211138,40BQ331,3,2.0972,0.9028
40211121,40BC051,3,3.2464,0.2464
40311108,40BA061,2,3.4545,1.4545
40211125,40BC051,4,2.0119,1.9881
40411111,40BC011,1,2.903,1.903
40211138,40B0291,2,2.9474,0.9474
40311155,40BA011,4,2.903,1.097
40211217,40BA102,5,2.8841,2.1159
40411202,40BA062,2,2.903,0.903
40211106,40BQ051,4,3.3944,0.6056
40511204,40B0292,5,3.0714,1.9286
40211150,40BC011,3,2.0615,0.9385
40311108,40BA141,2,2.9011,0.9011
40411129,40B0291,2,2.903,0.903
40311109,40BA011,1,2.903,1.903
40411145,40BA051,1,2.903,1.903
40211125,40BA091,1,1.3457,0.3457
40311226,40BR072,4,3.8295,0.1705
40211135,40BA011,4,2.903,1.097
40211217,40BA092,5,3.3125,1.6875
40311134,409A011,2,2.1852,0.1852
40211102,40BQ391,4,3.8824,0.1176
40211117,40BQ051,4,2.903,1.097
40311236,40BA082,4,3.5161,0.4839
40311244,40BR072,3,2.903,0.097
40411248,40BA012,4,2.903,1.097
40311246,40BA052,3,2.903,0.097
40311140,40BQ341,5,4.0,1.0
40411120,40BC071,4,2.903,1.097
40211232,40BA012,1,2.903,1.903
40211102,40BA151,4,3.7941,0.2059
40411118,40BA081,1,2.903,1.903
40211156,40BQ171,3,3.7213,0.7213
40211207,40BR082,5,3.527,1.473
40211113,40B9662,4,4.0294,0.0294
40311150,40B0291,3,2.903,0.097
40311127,40BA061,1,2.903,1.903
40311247,40BR372,4,3.8118,0.1882
40211129,40BA101,4,2.8358,1.1642
40211127,40B0291,4,2.9265,1.0735
40211102,40KA393,4,4.3333,0.3333
40211245,40BR082,3,3.7024,0.7024
40411163,40BA221,3,2.903,0.097
40311117,40BQ341,4,4.4648,0.4648
40311111,40BA141,2,2.9101,0.9101
40211146,40BA021,2,3.3553,1.3553
40311150,40BA101,1,2.903,1.903
40311216,40BR022,3,3.1585,0.1585
40411150,40BA051,1,2.903,1.903
40211126,40KA513,3,3.5714,0.5714
40211126,40KE011,3,3.2857,0.2857
40211252,40BA052,3,3.1818,0.1818
40411242,40BA222,3,2.903,0.097
40211162,40BA091,1,1.7237,0.7237
