Method,K_Value,MAE,RMSE,Failed_Predictions (NaN)
User_Rating,1,1.088267833051317,1.517151455788679,9
User_Rating,3,0.9733387962564106,1.2882024885773653,9
User_Rating,5,0.9348309494441902,1.222013062965085,9
User_Rating,7,0.9314052995221593,1.2045056110393868,9
User_Rating,9,0.9344112519158112,1.195902188624544,9
User_Content,1,1.1630290746113383,1.5120104082833836,9
User_Content,3,1.055080829557267,1.321114475305632,9
User_Content,5,1.0378582467308892,1.2924552411817254,9
User_Content,7,1.031276117282929,1.282216562487713,9
User_Content,9,1.0326600250186961,1.2768615477577774,9
User_Hybrid,1,1.0467232000478646,1.4782585318427617,9
User_Hybrid,3,0.954089079976328,1.2510574505990393,9
User_Hybrid,5,0.9287154260574195,1.2035853576422817,9
User_Hybrid,7,0.9390176963367913,1.2018357754725173,9
User_Hybrid,9,0.9459630655992443,1.203148390175439,9
Item_Rating,1,1.0744785335477316,1.4674384747385938,9
Item_Rating,3,0.9203967075858008,1.1948597089756658,9
Item_Rating,5,0.8963528487132971,1.1569870578486317,9
Item_Rating,7,0.8883115282374092,1.1433820564043562,9
Item_Rating,9,0.8855387678632972,1.138862891444466,9
Item_Content,1,1.1089875986690416,1.4883275745861133,0
Item_Content,3,0.9471929528086197,1.2049976096995318,0
Item_Content,5,0.9171239434343145,1.1521209706549553,0
Item_Content,7,0.8971885406185134,1.1251315778459237,0
Item_Content,9,0.882044447508163,1.1036453214993835,0
Item_Hybrid,1,1.074238563920007,1.4506043572471983,0
Item_Hybrid,3,0.900815889907619,1.1544096017383907,0
Item_Hybrid,5,0.8682254407001193,1.1020345127978834,0
Item_Hybrid,7,0.8585800118708585,1.0836187626793383,0
Item_Hybrid,9,0.8545848750166798,1.0757599713130828,0
