Family,Method,Selected Config,MAE,RMSE,Precision@5,Recall@5,NDCG@5,HitRate@5,Precision@10,Recall@10,NDCG@10,HitRate@10
CF,User_Rating,K=9,0.9794769951877558,1.2334499350118042,0.0021621621621621,0.0081081081081081,0.003985135970033,0.0108108108108108,0.0016216216216216,0.0108108108108108,0.005030684097694,0.0162162162162162
CF,User_Content,K=9,1.081693402702628,1.3042339281366775,0.001081081081081,0.0027027027027027,0.0014273952571491,0.0054054054054054,0.001081081081081,0.0054054054054054,0.0023854454559818,0.0108108108108108
CF,User_Hybrid,K=9,0.9836965989239234,1.236577851801694,0.001081081081081,0.0027027027027027,0.0014273952571491,0.0054054054054054,0.0016216216216216,0.0081081081081081,0.0034309935836427,0.0162162162162162
CF,Item_Rating,K=9,0.9051829649948716,1.1863382448142223,0.0054054054054054,0.0243243243243243,0.0125220896498386,0.027027027027027,0.0027027027027027,0.0243243243243243,0.0125220896498386,0.027027027027027
CF,Item_Content,K=9,0.940430201890228,1.21195650854352,0.0043243243243243,0.0189189189189189,0.0105691130311361,0.0216216216216216,0.0043243243243243,0.0405405405405405,0.0173894745764097,0.0432432432432432
CF,Item_Hybrid,K=7,0.9108074197911769,1.1938975077821172,0.0518918918918918,0.2027027027027027,0.1603917949460859,0.2324324324324324,0.0324324324324324,0.2522522522522523,0.1770063479402388,0.2810810810810811
RWR,Binary,c=0.1,1.9818547607015835,2.38236731065666,0.1794594594594594,0.7846846846846847,0.6137964233930299,0.8324324324324325,0.101081081081081,0.8720720720720719,0.6425471892314243,0.9135135135135136
RWR,Linear,c=0.1,1.9764587336881263,2.373983194929913,0.1827027027027027,0.7981981981981983,0.6235876835692161,0.8486486486486486,0.1016216216216216,0.8774774774774774,0.6505181329880982,0.918918918918919
RWR,Softmax,c=0.7; T=0.3,1.860280669496492,2.249383246731017,0.1318918918918918,0.5531531531531532,0.4383346442599071,0.6,0.0956756756756757,0.8198198198198198,0.5249115482744598,0.8540540540540541
Other,MF,d=32; epochs=100; lr=0.005; wd=0.001,0.8292689014953842,1.024343442925574,0.06270270270270271,0.26126126126126126,0.1937683492151804,0.3027027027027027,0.04216216216216217,0.34054054054054056,0.22159676327462235,0.372972972972973
Other,Vanilla GCN,hidden=12; d=16; epochs=20; lr=0.005; wd=0.0001; dropout=0.1,1.4889663099645574,1.8278868840886469,0.09945945945945946,0.47117117117117113,0.24436542875740164,0.4918918918918919,0.06162162162162162,0.5675675675675675,0.27466827514674047,0.6054054054054054
Other,LightGCN-RMSE,d=64; L=1; epochs=100; lr=0.01; wd=0,0.8697193554526378,1.167603058522515,0.13405405405405404,0.6324324324324324,0.4473553639883973,0.654054054054054,0.08540540540540541,0.772972972972973,0.4948806335682916,0.8216216216216217
Other,LightGCN-Ranking / Uniform-3L,A_uniform; d=32; L=3; epochs=100; lr=0.01; wd=0,1.0342828895094398,1.3612976301786803,0.1913513513513514,0.8441441441441441,0.6730360123568213,0.8864864864864865,0.10540540540540541,0.9117117117117116,0.6969946949040355,0.9459459459459459
