Method,Relevant_Item_Group,Users,Zero_NDCG_User_Percent,Mean,Median,P25,P75,Max
MF,All,185,69.72972972972973,0.19376834921518038,0.0,0.0,0.3868528072345416,1.0
MF,1,154,74.67532467532467,0.17809814629436047,0.0,0.0,0.29013960542590617,1.0
MF,2,27,40.74074074074074,0.3043675084806041,0.2640681225725909,0.0,0.6131471927654584,1.0
MF,>=3,4,75.0,0.05052683662513688,0.0,0.0,0.05052683662513688,0.2021073465005475
Item_Hybrid,All,185,76.75675675675676,0.16039179494608594,0.0,0.0,0.0,1.0
Item_Hybrid,1,154,81.81818181818183,0.13824485388618932,0.0,0.0,0.0,1.0
Item_Hybrid,2,27,51.85185185185185,0.2757117449817492,0.0,0.0,0.6131471927654584,1.0
Item_Hybrid,>=3,4,50.0,0.23463936301137822,0.11731968150568911,0.0,0.35195904451706733,0.7039180890341347
LightGCN-RMSE,All,185,34.5945945945946,0.4473553639883972,0.5,0.0,0.6309297535714575,1.0
LightGCN-RMSE,1,154,28.57142857142857,0.4989512329741658,0.6309297535714575,0.0,0.6309297535714575,1.0
LightGCN-RMSE,2,27,59.25925925925925,0.21934268369748008,0.0,0.0,0.3868528072345416,1.0
LightGCN-RMSE,>=3,4,100.0,0.0,0.0,0.0,0.0,0.0
LightGCN-Ranking,All,185,11.351351351351353,0.6730360123568214,0.6309297535714575,0.5,1.0,1.0
LightGCN-Ranking,1,154,11.03896103896104,0.691997713884705,0.6309297535714575,0.5,1.0,1.0
LightGCN-Ranking,2,27,11.11111111111111,0.6069321627286136,0.6131471927654584,0.3467132018086354,0.9197207891481876,1.0
LightGCN-Ranking,>=3,4,25.0,0.38921148852369786,0.4427299407857437,0.17597952225853364,0.6559619070509078,0.6713860725233041
RWR Linear,All,185,15.135135135135137,0.6235876835692162,0.6309297535714575,0.38685280723454163,1.0,1.0
RWR Linear,1,154,16.883116883116884,0.642461296657676,0.6309297535714575,0.43067655807339306,1.0,1.0
RWR Linear,2,27,7.4074074074074066,0.5377280125736373,0.6131471927654584,0.3065735963827292,0.6721736667122017,1.0
RWR Linear,>=3,4,0.0,0.47650635888367054,0.46927872602275644,0.42597952225853364,0.5198055626478933,0.6713860725233041
Random,All,185,96.75675675675676,0.022050750661896486,0.0,0.0,0.0,1.0
Random,1,154,96.1038961038961,0.026489538132797728,0.0,0.0,0.0,1.0
Random,2,27,100.0,0.0,0.0,0.0,0.0,0.0
Random,>=3,4,100.0,0.0,0.0,0.0,0.0,0.0
MostPopular,All,185,51.35135135135135,0.2515921465087162,0.0,0.0,0.5,1.0
MostPopular,1,154,46.75324675324675,0.28729465741565646,0.38685280723454163,0.0,0.5,1.0
MostPopular,2,27,77.77777777777779,0.0710192860393888,0.0,0.0,0.0,0.5012658353418871
MostPopular,>=3,4,50.0,0.09591228475947505,0.09077089626867633,0.0,0.1866831810281514,0.20210734650054757
