Method,HeldoutOnly_NDCG@5,FullCatalog_NDCG@5,HeldoutOnly_NDCG@10,FullCatalog_NDCG@10,RelativeDropPercent
User_Rating,0.9776067618310047,0.003985135970033094,0.9776067618310047,0.005030684097694017,99.59235797811287
User_Content,0.9763195159236692,0.0014273952571491398,0.9763195159236692,0.0023854454559818303,99.85379834840249
User_Hybrid,0.9803734975462813,0.0014273952571491398,0.9803734975462813,0.0034309935836427537,99.8544029126938
Item_Rating,0.9653806390877105,0.012522089649838626,0.9653806390877105,0.012522089649838626,98.70288576931976
Item_Content,0.9465229673735297,0.01056911303113614,0.9465229673735297,0.017389474576409762,98.88337489998113
Item_Hybrid,0.9750001810786048,0.16039179494608594,0.9750001810786048,0.1770063479402388,83.54956254791145
RWR Binary,0.9414553816981016,0.6137964233930299,0.9414553816981016,0.6425471892314243,34.803450559077355
RWR Linear,0.9458967817926442,0.6235876835692161,0.9458967817926442,0.6505181329880982,34.074447067321074
RWR Softmax,0.966152400497968,0.4383346442599071,0.966152400497968,0.5249115482744598,54.63090046311705
MF,0.9738730901341457,0.19376834921518038,0.9738730901341457,0.22159676327462235,80.10332648286956
Vanilla GCN,0.9391225876631051,0.24436542875740155,0.9391225876631051,0.27466827514674047,73.97938970188378
LightGCN-RMSE,0.9807434062139874,0.4473553639883973,0.9807434062139874,0.4948806335682916,54.38609516475411
LightGCN-Ranking,0.9546164963481331,0.6730360123568213,0.9546164963481331,0.6969946949040355,29.49671256137857
