model,train_interaction_bucket,users,rating_rows,MAE,RMSE,ranking_eligible_users,Precision@5,Recall@5,NDCG@5,HitRate@5
MF,1-5,172,172,1.0693175037239873,1.2277698972438542,58,0.027586206896551727,0.13793103448275862,0.10385722438423844,0.13793103448275862
MF,6-10,93,93,0.7664597470273253,0.9280540459278324,25,0.05600000000000001,0.28,0.1871552992581888,0.28
MF,11-20,106,139,0.7636777934410589,0.9756164146531071,44,0.07272727272727274,0.3522727272727273,0.25147374887018864,0.36363636363636365
MF,>20,87,195,0.69424354663262,0.8968289193739352,58,0.09310344827586207,0.3074712643678161,0.24275341653068144,0.43103448275862066
Vanilla GCN,1-5,172,172,1.815242538618487,2.185294857202401,58,0.1862068965517241,0.9310344827586207,0.48577157722407266,0.9310344827586207
Vanilla GCN,6-10,93,93,1.570388497844819,1.888371306711705,25,0.10400000000000002,0.52,0.23255764848282356,0.52
Vanilla GCN,11-20,106,139,1.1561740533911067,1.4258017768122462,44,0.05454545454545456,0.26136363636363635,0.14780087815098747,0.2727272727272727
Vanilla GCN,>20,87,195,1.3995629707972208,1.703337870385804,58,0.04482758620689656,0.14942528735632182,0.08130470673119025,0.20689655172413793
LightGCN,1-5,172,172,1.1442681051963983,1.5388077735544803,58,0.1689655172413793,0.8448275862068966,0.6032355972882703,0.8448275862068966
LightGCN,6-10,93,93,0.8195928514644664,1.057490907979313,25,0.168,0.84,0.600640075360163,0.84
LightGCN,11-20,106,139,0.8056556175080992,1.0237658252739985,44,0.1681818181818182,0.7954545454545454,0.5389113587560538,0.7954545454545454
LightGCN,>20,87,195,0.6971257118078379,0.9048158682867486,58,0.05862068965517242,0.20689655172413793,0.15594786251488607,0.27586206896551724
