analysis,feature,mf_winner_n,mf_winner_mean,mf_winner_median,mf_winner_std,lightgcn_winner_n,lightgcn_winner_mean,lightgcn_winner_median,lightgcn_winner_std,cohens_d_lightgcn_minus_mf,mann_whitney_u,mann_whitney_p,spearman_rho_with_difference,spearman_p,mann_whitney_p_bh,spearman_p_bh
rating,train_interaction_count,247,10.2834008097166,9.0,8.482924489801505,211,10.90521327014218,9.0,8.624468034775866,0.0727402144514207,24758.5,0.3511904551046263,-0.05123960753354798,0.2738243740642975,0.6555555161953025,0.5111388315866886
rating,fraction_of_catalog_observed,247,0.06810199211732847,0.059602649006622516,0.05617830787948018,211,0.07221995543140516,0.059602649006622516,0.05711568234950905,0.07274021445142077,24758.5,0.3511904551046263,-0.05123960753354798,0.2738243740642975,0.6555555161953025,0.5111388315866886
rating,mean_rating,247,2.865036481188075,2.888888888888889,1.102122031616061,211,2.5822058119740587,2.588235294117647,1.1306993143519126,-0.2535748331918724,29882.5,0.006688266306399027,0.1262800499377679,0.006810595295344722,0.11368491190539047,0.0953483341348261
rating,rating_std,247,0.6533039058968418,0.8,0.49867667391724374,211,0.6411450725319586,0.8068715304598785,0.4794169477013843,-0.0248189535913531,26470.5,0.7670852753188551,0.012131102010121419,0.79569928498074,0.9866976128754498,0.979313422043504
rating,rating_min,247,1.874493927125506,1.0,1.2414083788884107,211,1.6255924170616114,1.0,1.0766389520563904,-0.21302443499285392,28818.0,0.0243610525511551,0.11363069201500499,0.014972535807769484,0.11368491190539047,0.13974366753918185
rating,rating_max,247,3.88663967611336,4.0,1.2891446570787515,211,3.6208530805687205,4.0,1.4502351967632496,-0.19461657640631802,28494.5,0.07033407802605819,0.07380879810837462,0.11470054663202205,0.24335798806943318,0.32116153056966174
rating,number_of_distinct_rating_levels,247,2.9109311740890687,3.0,1.5249156791695309,211,2.890995260663507,3.0,1.5063245887404542,-0.013147023239161058,26239.5,0.894837896558545,0.005875851025200442,0.900202016824695,0.9866976128754498,0.979313422043504
rating,fraction_rating_1,247,0.23735159296537783,0.08,0.3144913228479627,211,0.32725015250099154,0.16666666666666666,0.36832394349203273,0.26414181014460975,22526.5,0.01005256796024736,-0.1469010155807685,0.0016196412194901364,0.11368491190539047,0.04534995414572382
rating,fraction_rating_2,247,0.17325504970826838,0.1111111111111111,0.2351255742219104,211,0.16719551363357438,0.1111111111111111,0.2208341715124266,-0.02650078174022828,26096.5,0.9781681605223189,0.016607142493724768,0.7229929811784457,0.9866976128754498,0.979313422043504
rating,fraction_rating_3,247,0.20979459278435747,0.18181818181818182,0.23950572854936775,211,0.20499987285135665,0.16666666666666666,0.2284365819253961,-0.020448919856606056,26035.0,0.9866976128754498,0.024939385362897845,0.594483295221822,0.9866976128754498,0.8760806455900534
rating,fraction_rating_4,247,0.24620281225689344,0.15,0.29221735031540813,211,0.1972072914185386,0.1111111111111111,0.2490606664989208,-0.1793454510593487,28348.5,0.09509162052720799,0.06622410307477325,0.1570865606681317,0.2662565374761824,0.3665353082256406
