Student_ID,train_interaction_count,fraction_of_catalog_observed,mean_rating,rating_std,rating_min,rating_max,number_of_distinct_rating_levels,fraction_rating_1,fraction_rating_2,fraction_rating_3,fraction_rating_4,fraction_rating_5,fraction_rating_ge_4,fraction_rating_lt_4,rating_entropy,rating_range,number_of_observed_ordered_pairs,normalized_pair_count_per_interaction,mean_rating_gap_across_pairs,max_rating_gap,fraction_gap_1_pairs,fraction_gap_2plus_pairs,mean_degree_of_interacted_items,median_degree_of_interacted_items,min_degree_of_interacted_items,max_degree_of_interacted_items,fraction_of_interactions_with_head_items,fraction_of_interactions_with_tail_items,MF_MAE_user,LightGCN_MAE_user,MAE_difference,rating_winner,MF_rating_better,LightGCN_rating_better,ranking_eligible,MF_NDCG5_user,LightGCN_NDCG5_user,NDCG5_difference,ranking_winner,MF_ranking_better,LightGCN_ranking_better,MF_Recall@5,LightGCN_Recall@5,Recall@5_difference,Recall@5_winner,MF_HitRate@5,LightGCN_HitRate@5,HitRate@5_difference,HitRate@5_winner
40111230,3,0.019867549668874173,1.3333333333333333,0.4714045207910317,1.0,2.0,2,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.9182958340544896,1.0,2,0.6666666666666666,1.0,1.0,1.0,0.0,48.666666666666664,49.0,47.0,50.0,0.0,0.0,0.732515811920166,0.5835039615631104,-0.14901185035705566,LightGCN,0,1,False,,,,ineligible,0,0,,,,ineligible,,,,ineligible
40111256,2,0.013245033112582781,4.0,0.0,4.0,4.0,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,14.0,16.0,0.0,0.0,1.5323090553283691,2.172356605529785,0.640047550201416,MF,1,0,False,,,,ineligible,0,0,,,,ineligible,,,,ineligible
40205303,16,0.10596026490066225,1.875,0.8569568250501305,1.0,4.0,4,0.375,0.4375,0.125,0.0625,0.0,0.0625,0.9375,1.6774212838293647,3.0,83,5.1875,1.3734939759036144,3.0,0.6987951807228916,0.30120481927710846,60.25,49.0,26.0,147.0,0.375,0.0,0.8725436925888062,0.8543142676353455,-0.018229424953460693,LightGCN,0,1,False,,,,ineligible,0,0,,,,ineligible,,,,ineligible
40211101,24,0.15894039735099338,4.333333333333333,0.8498365855987975,2.0,5.0,4,0.0,0.041666666666666664,0.125,0.2916666666666667,0.5416666666666666,0.8333333333333334,0.16666666666666666,1.5636254885377856,3.0,174,7.25,1.4137931034482758,3.0,0.6609195402298851,0.3390804597701149,59.041666666666664,42.5,4.0,136.0,0.375,0.0,0.6064486503601074,0.4894669850667317,-0.11698166529337573,LightGCN,0,1,True,0.2640681225725909,0.6131471927654584,0.3490790701928675,LightGCN,0,1,0.5,0.5,0.0,tie,1.0,1.0,0.0,tie
40211102,28,0.18543046357615894,3.892857142857143,0.8999716548824395,2.0,5.0,4,0.0,0.07142857142857142,0.25,0.39285714285714285,0.2857142857142857,0.6785714285714286,0.32142857142857145,1.8178823413642649,3.0,273,9.75,1.4029304029304028,3.0,0.6556776556776557,0.3443223443223443,52.535714285714285,42.5,2.0,132.0,0.39285714285714285,0.03571428571428571,0.8502326806386312,1.6621909936269124,0.8119583129882811,MF,1,0,True,0.0,0.0,0.0,tie,0,0,0.0,0.0,0.0,tie,0.0,0.0,0.0,tie
40211103,17,0.11258278145695365,2.1176470588235294,1.0222439527636922,1.0,4.0,4,0.35294117647058826,0.29411764705882354,0.23529411764705882,0.11764705882352941,0.0,0.11764705882352941,0.8823529411764706,1.9039678130877662,3.0,104,6.117647058823529,1.5576923076923077,3.0,0.5576923076923077,0.4423076923076923,78.6470588235294,81.0,3.0,137.0,0.6470588235294118,0.0,0.5554699301719666,0.5623456239700317,0.0068756937980651855,MF,1,0,False,,,,ineligible,0,0,,,,ineligible,,,,ineligible
40211104,23,0.152317880794702,2.9565217391304346,1.1601447012283768,1.0,5.0,5,0.08695652173913043,0.34782608695652173,0.17391304347826086,0.30434782608695654,0.08695652173913043,0.391304347826087,0.6086956521739131,2.1039321971699163,4.0,196,8.521739130434783,1.7346938775510203,4.0,0.45918367346938777,0.5408163265306123,73.47826086956522,74.0,20.0,137.0,0.5217391304347826,0.0,1.1476620435714722,1.289425492286682,0.14176344871520974,MF,1,0,True,0.2640681225725909,0.0,-0.2640681225725909,MF,1,0,0.5,0.0,-0.5,MF,1.0,0.0,-1.0,MF
40211105,24,0.15894039735099338,2.2083333333333335,1.039998664529057,1.0,4.0,4,0.3333333333333333,0.25,0.2916666666666667,0.125,0.0,0.125,0.875,1.9217897106839215,3.0,209,8.708333333333334,1.5837320574162679,3.0,0.5311004784688995,0.4688995215311005,52.916666666666664,41.0,2.0,137.0,0.3333333333333333,0.0,0.5837772687276205,0.8218859831492106,0.2381087144215901,MF,1,0,True,0.0,0.0,0.0,tie,0,0,0.0,0.0,0.0,tie,0.0,0.0,0.0,tie
40211106,25,0.16556291390728478,2.76,1.1757550765359255,1.0,5.0,5,0.2,0.2,0.28,0.28,0.04,0.32,0.68,2.142966195467521,4.0,238,9.52,1.7226890756302522,4.0,0.48739495798319327,0.5126050420168067,62.92,49.0,3.0,137.0,0.44,0.0,0.1444287300109863,0.4340580701828003,0.28962934017181396,MF,1,0,True,0.5,0.3868528072345416,-0.11314719276545843,MF,1,0,1.0,1.0,0.0,tie,1.0,1.0,0.0,tie
40211107,26,0.17218543046357615,2.1538461538461537,1.0262818510866412,1.0,4.0,4,0.34615384615384615,0.2692307692307692,0.2692307692307692,0.11538461538461539,0.0,0.11538461538461539,0.8846153846153846,1.908625047989141,3.0,244,9.384615384615385,1.5655737704918034,3.0,0.5450819672131147,0.45491803278688525,57.26923076923077,41.5,1.0,137.0,0.38461538461538464,0.07692307692307693,0.8844829400380453,1.0652999083201091,0.18081696828206384,MF,1,0,False,,,,ineligible,0,0,,,,ineligible,,,,ineligible
40211108,25,0.16556291390728478,3.72,0.8726969691708572,2.0,5.0,4,0.0,0.08,0.32,0.4,0.2,0.6,0.4,1.810699332842307,3.0,216,8.64,1.3703703703703705,3.0,0.6759259259259259,0.32407407407407407,65.2,48.0,12.0,137.0,0.4,0.0,0.8883450826009115,0.7348429361979166,-0.15350214640299487,LightGCN,0,1,True,0.0,0.0,0.0,tie,0,0,0.0,0.0,0.0,tie,0.0,0.0,0.0,tie
40211109,25,0.16556291390728478,2.72,1.3717142559585798,1.0,5.0,5,0.28,0.2,0.12,0.32,0.08,0.4,0.6,2.163215692534584,4.0,237,9.48,2.0168776371308015,4.0,0.379746835443038,0.620253164556962,62.48,43.0,3.0,137.0,0.44,0.0,0.8006749153137207,0.7008640766143799,-0.09981083869934082,LightGCN,0,1,False,,,,ineligible,0,0,,,,ineligible,,,,ineligible
