split,Method,K,rating_cf_weighted,rating_item_train_mean,rating_user_train_mean,rating_global_train_mean,rating_total,ranking_candidates_cf_weighted,ranking_candidates_item_train_mean,ranking_candidates_user_train_mean,ranking_candidates_global_train_mean,ranking_candidates_total
validation,User_Rating,1,599,1,0,0,600,47619,16698,0,0,64317
validation,User_Rating,3,599,1,0,0,600,47619,16698,0,0,64317
validation,User_Rating,5,599,1,0,0,600,47619,16698,0,0,64317
validation,User_Rating,7,599,1,0,0,600,47619,16698,0,0,64317
validation,User_Rating,9,599,1,0,0,600,47619,16698,0,0,64317
validation,User_Content,1,319,281,0,0,600,24172,40145,0,0,64317
validation,User_Content,3,319,281,0,0,600,24172,40145,0,0,64317
validation,User_Content,5,319,281,0,0,600,24172,40145,0,0,64317
validation,User_Content,7,319,281,0,0,600,24172,40145,0,0,64317
validation,User_Content,9,319,281,0,0,600,24172,40145,0,0,64317
validation,User_Hybrid,1,599,1,0,0,600,52451,11866,0,0,64317
validation,User_Hybrid,3,599,1,0,0,600,52451,11866,0,0,64317
validation,User_Hybrid,5,599,1,0,0,600,52451,11866,0,0,64317
validation,User_Hybrid,7,599,1,0,0,600,52451,11866,0,0,64317
validation,User_Hybrid,9,599,1,0,0,600,52451,11866,0,0,64317
validation,Item_Rating,1,599,1,0,0,600,47619,16698,0,0,64317
validation,Item_Rating,3,599,1,0,0,600,47619,16698,0,0,64317
validation,Item_Rating,5,599,1,0,0,600,47619,16698,0,0,64317
validation,Item_Rating,7,599,1,0,0,600,47619,16698,0,0,64317
validation,Item_Rating,9,599,1,0,0,600,47619,16698,0,0,64317
validation,Item_Content,1,600,0,0,0,600,64317,0,0,0,64317
validation,Item_Content,3,600,0,0,0,600,64317,0,0,0,64317
validation,Item_Content,5,600,0,0,0,600,64317,0,0,0,64317
validation,Item_Content,7,600,0,0,0,600,64317,0,0,0,64317
validation,Item_Content,9,600,0,0,0,600,64317,0,0,0,64317
validation,Item_Hybrid,1,600,0,0,0,600,64317,0,0,0,64317
validation,Item_Hybrid,3,600,0,0,0,600,64317,0,0,0,64317
validation,Item_Hybrid,5,600,0,0,0,600,64317,0,0,0,64317
validation,Item_Hybrid,7,600,0,0,0,600,64317,0,0,0,64317
validation,Item_Hybrid,9,600,0,0,0,600,64317,0,0,0,64317
test,User_Rating,9,599,0,0,0,599,47619,16698,0,0,64317
test,User_Content,9,319,280,0,0,599,24172,40145,0,0,64317
test,User_Hybrid,9,599,0,0,0,599,52451,11866,0,0,64317
test,Item_Rating,9,599,0,0,0,599,47619,16698,0,0,64317
test,Item_Content,9,599,0,0,0,599,64317,0,0,0,64317
test,Item_Hybrid,7,599,0,0,0,599,64317,0,0,0,64317
