point,family,initial_alpha,final_alpha,best_checkpoint_alpha,lambda_rank,learning_rate,maximum_epochs,best_epoch,epochs_run,pair_mode,train_rating_loss,train_ranking_loss,MAE,RMSE,Rating_Rows,Missing_Predictions,Fallback_Predictions,Cold_User_Rows,Cold_Item_Rows,Ranking_Eligible_Users,Precision@5,Recall@5,NDCG@5,HitRate@5,Precision@10,Recall@10,NDCG@10,HitRate@10
V2-global,v2_global,0.1,0.10461100190877914,0.10461100190877914,0.0,0.001,50,50,50,unweighted,0.6007542610168457,0.4555947184562683,0.825410080353419,1.0961750598686362,600,0,0,0,0,170,0.1376470588235294,0.6186274509803921,0.4499849661441581,0.6588235294117647,0.08882352941176472,0.7745098039215685,0.5033126303395111,0.8235294117647058
V2-global,v2_global,0.1,0.10948514193296432,0.10948514193296432,0.0,0.001,100,100,100,unweighted,0.5974758863449097,0.452504962682724,0.8248121490081152,1.0950139864915838,600,0,0,0,0,170,0.1376470588235294,0.6186274509803921,0.4480414004324763,0.6588235294117647,0.08882352941176472,0.7745098039215685,0.5012208007069875,0.8235294117647058
V2-global,v2_global,0.1,0.12010572105646133,0.12010572105646133,0.0,0.001,200,200,200,unweighted,0.5903799533843994,0.44586512446403503,0.8235035113493602,1.0925016029503618,600,0,0,0,0,170,0.1388235294117647,0.6245098039215685,0.4502215588782525,0.6647058823529411,0.08941176470588236,0.7745098039215685,0.5016554889699704,0.8235294117647058
V2-global,v2_global,0.1,0.12542714178562164,0.12542714178562164,0.0,0.005,50,50,50,unweighted,0.58684903383255,0.4425855278968811,0.8228520089387894,1.0912545910600888,600,0,0,0,0,170,0.13647058823529412,0.6127450980392156,0.44505823559450397,0.6529411764705882,0.08882352941176472,0.7725490196078431,0.49983443008726514,0.8235294117647058
V2-global,v2_global,0.1,0.1586541384458542,0.1586541384458542,0.0,0.005,100,100,100,unweighted,0.5651711821556091,0.42280682921409607,0.8189223553737005,1.0836508287128428,600,0,0,0,0,170,0.13529411764705881,0.6068627450980392,0.44232963477522486,0.6470588235294118,0.09117647058823529,0.7892156862745098,0.5044781285891858,0.8411764705882353
V2-global,v2_global,0.1,0.255421906709671,0.255421906709671,0.0,0.005,200,200,200,unweighted,0.5056657195091248,0.3716394305229187,0.8084836991628012,1.061564443815477,600,0,0,0,0,170,0.13176470588235292,0.5784313725490196,0.4292676883295361,0.6235294117647059,0.08941176470588234,0.7676470588235295,0.4939333868716048,0.8176470588235294
V2-global,v2_global,0.1,0.1574462354183197,0.1574462354183197,0.0,0.01,50,50,50,unweighted,0.5659480690956116,0.42350509762763977,0.8190626400709152,1.0839216307243222,600,0,0,0,0,170,0.13529411764705881,0.6068627450980392,0.44232963477522486,0.6470588235294118,0.09117647058823529,0.7892156862745098,0.5044781285891858,0.8411764705882353
V2-global,v2_global,0.1,0.25091585516929626,0.25091585516929626,0.0,0.01,100,100,100,unweighted,0.508316695690155,0.37382280826568604,0.8089057896534602,1.06256445071396,600,0,0,0,0,170,0.13176470588235292,0.5784313725490196,0.43056662214989655,0.6235294117647059,0.0888235294117647,0.7617647058823529,0.4936370479286106,0.8117647058823529
V2-global,v2_global,0.1,0.5249032974243164,0.5249032974243164,0.0,0.01,200,200,200,unweighted,0.3684157729148865,0.2697874903678894,0.7938979927698772,1.0069296987714205,600,0,0,0,0,170,0.11529411764705884,0.49117647058823527,0.38016560681333994,0.5470588235294118,0.0811764705882353,0.6735294117647059,0.4412961250231965,0.7235294117647059
V2-global,v2_global,0.1,0.6210196614265442,0.6210196614265442,0.0,0.05,50,50,50,unweighted,0.3295961916446686,0.24431850016117096,0.7931391175587972,0.9911192361917758,600,0,0,0,0,170,0.10470588235294118,0.43725490196078426,0.34594962935847856,0.48823529411764705,0.07411764705882354,0.6098039215686274,0.40527435269481205,0.6588235294117647
V2-global,v2_global,0.1,0.8730089664459229,0.8043810725212097,0.0,0.05,100,72,92,unweighted,0.2703182101249695,0.20673930644989014,0.798901978135109,0.978958691658382,600,0,0,0,0,170,0.08470588235294117,0.34411764705882353,0.2815659511399064,0.4,0.058823529411764705,0.4696078431372549,0.325752599192326,0.5176470588235295
V2-global,v2_global,0.1,0.8730089664459229,0.8043810725212097,0.0,0.05,200,72,92,unweighted,0.2703182101249695,0.20673930644989014,0.798901978135109,0.978958691658382,600,0,0,0,0,170,0.08470588235294117,0.34411764705882353,0.2815659511399064,0.4,0.058823529411764705,0.4696078431372549,0.325752599192326,0.5176470588235295
V2-global,v2_global,0.1,0.10461097210645676,0.10461097210645676,0.01,0.001,50,50,50,unweighted,0.6007542610168457,0.4555947184562683,0.8254100873072943,1.0961750715930776,600,0,0,0,0,170,0.1376470588235294,0.6186274509803921,0.4499849661441581,0.6588235294117647,0.08882352941176472,0.7745098039215685,0.5033126303395111,0.8235294117647058
V2-global,v2_global,0.1,0.10948500782251358,0.10948500782251358,0.01,0.001,100,100,100,unweighted,0.5974759459495544,0.45250508189201355,0.8248121672868729,1.095014021148017,600,0,0,0,0,170,0.1376470588235294,0.6186274509803921,0.4480414004324763,0.6588235294117647,0.08882352941176472,0.7745098039215685,0.5012208007069875,0.8235294117647058
V2-global,v2_global,0.1,0.12010493129491806,0.12010493129491806,0.01,0.001,200,200,200,unweighted,0.5903804898262024,0.44586557149887085,0.8235035969813664,1.092501777508035,600,0,0,0,0,170,0.1388235294117647,0.6245098039215685,0.4502215588782525,0.6647058823529411,0.08941176470588236,0.7745098039215685,0.5016554889699704,0.8235294117647058
V2-global,v2_global,0.1,0.12542642652988434,0.12542642652988434,0.01,0.005,50,50,50,unweighted,0.5868495106697083,0.4425859749317169,0.8228520965576172,1.091254756461708,600,0,0,0,0,170,0.13647058823529412,0.6127450980392156,0.44505823559450397,0.6529411764705882,0.08882352941176472,0.7725490196078431,0.49983443008726514,0.8235294117647058
V2-global,v2_global,0.1,0.15864859521389008,0.15864859521389008,0.01,0.005,100,100,100,unweighted,0.5651747584342957,0.42281004786491394,0.8189229917526245,1.0836520634979343,600,0,0,0,0,170,0.13529411764705881,0.6068627450980392,0.44232963477522486,0.6470588235294118,0.09117647058823529,0.7892156862745098,0.5044781285891858,0.8411764705882353
V2-global,v2_global,0.1,0.25537341833114624,0.25537341833114624,0.01,0.005,200,200,200,unweighted,0.5056942105293274,0.37166282534599304,0.8084882362683614,1.061575166771611,600,0,0,0,0,170,0.13176470588235292,0.5784313725490196,0.4292676883295361,0.6235294117647059,0.08941176470588234,0.7676470588235295,0.4939333868716048,0.8176470588235294
V2-global,v2_global,0.1,0.15744273364543915,0.15744273364543915,0.01,0.01,50,50,50,unweighted,0.5659502744674683,0.4235071539878845,0.8190630525350571,1.0839224184776317,600,0,0,0,0,170,0.13529411764705881,0.6068627450980392,0.44232963477522486,0.6470588235294118,0.09117647058823529,0.7892156862745098,0.5044781285891858,0.8411764705882353
V2-global,v2_global,0.1,0.2508794069290161,0.2508794069290161,0.01,0.01,100,100,100,unweighted,0.508338212966919,0.3738405406475067,0.8089092169205347,1.0625725683848746,600,0,0,0,0,170,0.13176470588235292,0.5784313725490196,0.43056662214989655,0.6235294117647059,0.0888235294117647,0.7617647058823529,0.4936370479286106,0.8117647058823529
V2-global,v2_global,0.1,0.5246478915214539,0.5246478915214539,0.01,0.01,200,200,200,unweighted,0.36852604150772095,0.26986148953437805,0.7939050209522247,1.0069800264847304,600,0,0,0,0,170,0.11529411764705884,0.49117647058823527,0.38016560681333994,0.5470588235294118,0.0811764705882353,0.6735294117647059,0.4412961250231965,0.7235294117647059
V2-global,v2_global,0.1,0.6208460927009583,0.6208460927009583,0.01,0.05,50,50,50,unweighted,0.3296615183353424,0.24436049163341522,0.7931386703252792,0.9911420607797214,600,0,0,0,0,170,0.10470588235294118,0.43725490196078426,0.34594962935847856,0.48823529411764705,0.07411764705882354,0.6098039215686274,0.40527435269481205,0.6588235294117647
