stage,pair_mode,initial_alpha,lambda_rank,learning_rate,maximum_epochs,epoch,alpha,train_rating_loss,train_ranking_loss,train_total_loss,validation_RMSE_monitor
global,unweighted,0.1,0.0,0.001,50,1,0.10009001940488815,0.6038682460784912,0.45854249596595764,0.6038682460784912,1.0972552299499512
global,unweighted,0.1,0.0,0.001,50,2,0.10018011927604675,0.6038073301315308,0.4584846794605255,0.6038073301315308,1.0972336530685425
global,unweighted,0.1,0.0,0.001,50,3,0.10027032345533371,0.6037463545799255,0.45842689275741577,0.6037463545799255,1.0972120761871338
global,unweighted,0.1,0.0,0.001,50,4,0.10036059468984604,0.6036853194236755,0.4583689868450165,0.6036853194236755,1.097190499305725
global,unweighted,0.1,0.0,0.001,50,5,0.10045092552900314,0.6036242842674255,0.4583110511302948,0.6036242842674255,1.0971689224243164
global,unweighted,0.1,0.0,0.001,50,6,0.10054133832454681,0.6035631895065308,0.4582531452178955,0.6035631895065308,1.0971471071243286
global,unweighted,0.1,0.0,0.001,50,7,0.10063184797763824,0.6035019755363464,0.45819514989852905,0.6035019755363464,1.09712553024292
global,unweighted,0.1,0.0,0.001,50,8,0.10072241723537445,0.6034407615661621,0.4581370949745178,0.6034407615661621,1.0971038341522217
global,unweighted,0.1,0.0,0.001,50,9,0.10081306844949722,0.6033795475959778,0.4580790400505066,0.6033795475959778,1.0970821380615234
global,unweighted,0.1,0.0,0.001,50,10,0.10090381652116776,0.6033182740211487,0.458020955324173,0.6033182740211487,1.0970604419708252
global,unweighted,0.1,0.0,0.001,50,11,0.10099463909864426,0.60325688123703,0.4579627811908722,0.60325688123703,1.0970386266708374
global,unweighted,0.1,0.0,0.001,50,12,0.10108554363250732,0.6031954884529114,0.45790454745292664,0.6031954884529114,1.0970169305801392
global,unweighted,0.1,0.0,0.001,50,13,0.10117655247449875,0.603134036064148,0.45784634351730347,0.603134036064148,1.0969951152801514
global,unweighted,0.1,0.0,0.001,50,14,0.10126762837171555,0.6030725240707397,0.45778805017471313,0.6030725240707397,1.0969732999801636
global,unweighted,0.1,0.0,0.001,50,15,0.1013587936758995,0.6030109524726868,0.457729697227478,0.6030109524726868,1.0969514846801758
global,unweighted,0.1,0.0,0.001,50,16,0.10145007818937302,0.602949321269989,0.45767128467559814,0.602949321269989,1.096929669380188
global,unweighted,0.1,0.0,0.001,50,17,0.10154140740633011,0.6028876304626465,0.4576128125190735,0.6028876304626465,1.0969078540802002
global,unweighted,0.1,0.0,0.001,50,18,0.10163284093141556,0.6028258800506592,0.4575543999671936,0.6028258800506592,1.0968860387802124
global,unweighted,0.1,0.0,0.001,50,19,0.10172436386346817,0.6027641296386719,0.4574958384037018,0.6027641296386719,1.096864104270935
