split,Method,restart_probability_c,temperature,runtime_seconds,MAE,RMSE,Rating_Rows,Missing_Predictions,Fallback_Predictions,Cold_User_Rows,Cold_Item_Rows,Ranking_Eligible_Users,Precision@5,Recall@5,NDCG@5,HitRate@5,Precision@10,Recall@10,NDCG@10,HitRate@10,degenerate_minmax_users_all,degenerate_minmax_users_evaluated,rating_rows_using_degenerate_3,shared_evaluator_fallback_rows,mean_iterations,max_iterations,unconverged_users
validation,RWR_Binary,0.1,,3.11961636133492,2.043170460081551,2.44154760154942,600.0,0.0,0.0,0.0,0.0,170.0,0.16705882352941176,0.7088235294117647,0.5807517416430856,0.7647058823529411,0.10647058823529412,0.8823529411764706,0.6415518220095138,0.9176470588235294,0,0,0,0,157.0,157,0
validation,RWR_Binary,0.2,,2.287968782708049,2.068296992016988,2.466451955928075,600.0,0.0,0.0,0.0,0.0,170.0,0.17294117647058824,0.7294117647058823,0.585245860931038,0.788235294117647,0.10705882352941176,0.888235294117647,0.6420500478110871,0.9235294117647059,0,0,0,0,74.0,74,0
validation,RWR_Binary,0.3,,2.04881196282804,2.08693832720251,2.4829120344798037,600.0,0.0,0.0,0.0,0.0,170.0,0.18352941176470586,0.7764705882352941,0.5986746220106619,0.8294117647058824,0.10882352941176471,0.8990196078431372,0.6429775574776018,0.9294117647058824,0,0,0,0,47.0,47,0
validation,RWR_Binary,0.35,,1.9898963421583176,2.0941062849109993,2.4894127532446264,600.0,0.0,0.0,0.0,0.0,170.0,0.19058823529411767,0.7970588235294118,0.6150495834929919,0.8529411764705882,0.10882352941176471,0.8990196078431372,0.651030618917818,0.9294117647058824,0,0,0,0,39.0,39,0
validation,RWR_Binary,0.4,,1.988183556124568,2.100341328759202,2.495123820234254,600.0,0.0,0.0,0.0,0.0,170.0,0.19176470588235295,0.8,0.6168851457593695,0.8529411764705882,0.10941176470588236,0.9049019607843136,0.6536039737668524,0.9352941176470588,0,0,0,0,33.0,33,0
validation,RWR_Binary,0.5,,1.8885807320475578,2.110902491901921,2.504731213457688,600.0,0.0,0.0,0.0,0.0,170.0,0.19882352941176468,0.8294117647058824,0.6223878253978243,0.8764705882352941,0.11058823529411765,0.9107843137254901,0.6506261343507933,0.9352941176470588,0,0,0,0,24.006521739130434,25,0
validation,RWR_Binary,0.6,,1.798048371449113,2.1195121998133715,2.5126540781315416,600.0,0.0,0.0,0.0,0.0,170.0,0.2,0.8352941176470589,0.6237238466054793,0.8823529411764706,0.11117647058823528,0.9137254901960783,0.6514108664754076,0.9352941176470588,0,0,0,0,19.0,19,0
validation,RWR_Binary,0.7,,1.7702190857380629,2.127446074857143,2.519775975559678,600.0,0.0,0.0,0.0,0.0,170.0,0.20117647058823532,0.8411764705882353,0.6212354291794377,0.888235294117647,0.11176470588235295,0.9166666666666665,0.6480066707413394,0.9352941176470588,0,0,0,0,14.0,14,0
validation,RWR_Linear,0.1,,3.084117906168103,2.036098338135673,2.4284079859320684,600.0,0.0,0.0,0.0,0.0,170.0,0.17882352941176471,0.7509803921568627,0.5863768027088595,0.8117647058823529,0.10588235294117647,0.8705882352941177,0.629147373020787,0.9,0,0,0,0,157.0,157,0
validation,RWR_Linear,0.2,,2.3065822198987007,2.060187656673941,2.4493702452109463,600.0,0.0,0.0,0.0,0.0,170.0,0.18352941176470589,0.7715686274509803,0.5981855859019962,0.8294117647058824,0.10941176470588236,0.9029411764705882,0.6450890806734393,0.9294117647058824,0,0,0,0,74.0,74,0
validation,RWR_Linear,0.3,,2.035357415676117,2.075962910678411,2.4635965558486403,600.0,0.0,0.0,0.0,0.0,170.0,0.19764705882352943,0.8196078431372548,0.6114515728815647,0.8647058823529412,0.11117647058823528,0.9137254901960783,0.6442258500946448,0.9352941176470588,0,0,0,0,47.0,47,0
validation,RWR_Linear,0.35,,1.9382079765200615,2.0824045374885047,2.469394049907893,600.0,0.0,0.0,0.0,0.0,170.0,0.2,0.8313725490196078,0.6184727414136111,0.8764705882352941,0.11117647058823528,0.9137254901960783,0.6474978317226154,0.9352941176470588,0,0,0,0,39.0,39,0
