model,train_interaction_bucket,users,rating_rows,ranking_eligible_users,MAE,RMSE,Precision@5,Recall@5,NDCG@5,HitRate@5
A_uniform,1-5,172,172,58,1.3513172241144402,1.7839069526024842,0.18965517241379304,0.9482758620689655,0.7457219504352259,0.9482758620689655
A_uniform,6-10,93,93,25,0.9109379347934518,1.1568309398873888,0.19200000000000003,0.96,0.7661859507142915,0.96
A_uniform,11-20,106,139,44,0.8715629483298432,1.1099626986054285,0.18636363636363634,0.8863636363636364,0.6810404381798223,0.8863636363636364
A_uniform,>20,87,195,58,0.9294585154606746,1.170048242559802,0.196551724137931,0.6580459770114943,0.5541269157413684,0.7931034482758621
MF,1-5,172,172,58,1.0693175037239873,1.2277698972438542,0.027586206896551727,0.1379310344827586,0.1038572243842384,0.1379310344827586
MF,6-10,93,93,25,0.7664597470273253,0.9280540459278324,0.05600000000000001,0.28,0.1871552992581888,0.28
MF,11-20,106,139,44,0.7636777934410589,0.9756164146531072,0.07272727272727274,0.3522727272727273,0.2514737488701886,0.3636363636363636
MF,>20,87,195,58,0.69424354663262,0.8968289193739352,0.09310344827586207,0.3074712643678161,0.2427534165306814,0.4310344827586206
LightGCN_RMSE,1-5,172,172,58,1.1442681031171666,1.5388077749622764,0.1689655172413793,0.8448275862068966,0.6032355972882703,0.8448275862068966
LightGCN_RMSE,6-10,93,93,25,0.8195928309553413,1.0574909116301878,0.168,0.84,0.600640075360163,0.84
LightGCN_RMSE,11-20,106,139,44,0.8056556398062398,1.0237658558817255,0.1681818181818182,0.7954545454545454,0.5389113587560538,0.7954545454545454
LightGCN_RMSE,>20,87,195,58,0.6971257185324644,0.9048158805133538,0.05862068965517242,0.2068965517241379,0.155947862514886,0.2758620689655172
LightGCN_Ranking,1-5,172,172,58,1.3513172275798266,1.783906966409721,0.18965517241379304,0.9482758620689656,0.7457219504352259,0.9482758620689656
LightGCN_Ranking,6-10,93,93,25,0.91093792710253,1.1568309315896563,0.19200000000000003,0.96,0.7661859507142915,0.96
LightGCN_Ranking,11-20,106,139,44,0.8715629800618123,1.1099627332607382,0.18636363636363634,0.8863636363636364,0.6810404381798223,0.8863636363636364
LightGCN_Ranking,>20,87,195,58,0.9294584958981243,1.1700482291080008,0.196551724137931,0.6580459770114943,0.5541269157413684,0.7931034482758621
