method,Student_ID,alpha,train_interaction_count,bucket
UAF-count,40111230,0.5595348477363586,3,1-5
UAF-count,40111256,0.5438188910484314,2,1-5
UAF-count,40205303,0.6976392865180969,16,11-20
UAF-count,40211101,0.7475437521934509,24,>20
UAF-count,40211102,0.7656317949295044,28,>20
UAF-count,40211103,0.704835832118988,17,11-20
UAF-count,40211104,0.7424097657203674,23,>20
UAF-count,40211105,0.7475437521934509,24,>20
UAF-count,40211106,0.7524121999740601,25,>20
UAF-count,40211107,0.7570369243621826,26,>20
UAF-count,40211108,0.7524121999740601,25,>20
UAF-count,40211109,0.7524121999740601,25,>20
UAF-count,40211110,0.7656317949295044,28,>20
UAF-count,40211111,0.7424097657203674,23,>20
UAF-count,40211112,0.7475437521934509,24,>20
UAF-count,40211113,0.7475437521934509,24,>20
UAF-count,40211114,0.7312414646148682,21,>20
UAF-count,40211115,0.7312414646148682,21,>20
UAF-count,40211116,0.7524121999740601,25,>20
UAF-count,40211117,0.7524121999740601,25,>20
UAF-count,40211118,0.7524121999740601,25,>20
UAF-count,40211119,0.7369851469993591,22,>20
UAF-count,40211120,0.5330074429512024,1,1-5
UAF-count,40211121,0.7524121999740601,25,>20
UAF-count,40211122,0.7424097657203674,23,>20
UAF-count,40211123,0.7475437521934509,24,>20
UAF-count,40211125,0.7524121999740601,25,>20
UAF-count,40211126,0.7734608054161072,30,>20
UAF-count,40211127,0.7524121999740601,25,>20
UAF-count,40211128,0.5330074429512024,1,1-5
UAF-count,40211129,0.7475437521934509,24,>20
UAF-count,40211130,0.7475437521934509,24,>20
UAF-count,40211131,0.5781697630882263,5,1-5
UAF-count,40211132,0.7369851469993591,22,>20
UAF-count,40211133,0.7524121999740601,25,>20
UAF-count,40211134,0.7524121999740601,25,>20
UAF-count,40211135,0.5781697630882263,5,1-5
UAF-count,40211136,0.7524121999740601,25,>20
UAF-count,40211137,0.7312414646148682,21,>20
UAF-count,40211138,0.7251463532447815,20,11-20
UAF-count,40211139,0.7475437521934509,24,>20
UAF-count,40211141,0.7524121999740601,25,>20
UAF-count,40211142,0.6724739074707031,13,11-20
UAF-count,40211144,0.7524121999740601,25,>20
UAF-count,40211145,0.6724739074707031,13,11-20
UAF-count,40211146,0.7475437521934509,24,>20
UAF-count,40211147,0.7117462158203125,18,11-20
UAF-count,40211148,0.7475437521934509,24,>20
UAF-count,40211150,0.7475437521934509,24,>20
UAF-count,40211151,0.7524121999740601,25,>20
UAF-count,40211152,0.5696923136711121,4,1-5
UAF-count,40211153,0.7424097657203674,23,>20
UAF-count,40211154,0.7251463532447815,20,11-20
UAF-count,40211156,0.7312414646148682,21,>20
UAF-count,40211157,0.5438188910484314,2,1-5
UAF-count,40211158,0.7369851469993591,22,>20
UAF-count,40211161,0.7424097657203674,23,>20
UAF-count,40211162,0.704835832118988,17,11-20
UAF-count,40211163,0.6418606638908386,10,6-10
UAF-count,40211164,0.663040816783905,12,11-20
UAF-count,40211165,0.6529678702354431,11,11-20
UAF-count,40211166,0.5330074429512024,1,1-5
UAF-count,40211201,0.7475437521934509,24,>20
UAF-count,40211202,0.7475437521934509,24,>20
UAF-count,40211203,0.7475437521934509,24,>20
UAF-count,40211204,0.5330074429512024,1,1-5
UAF-count,40211205,0.7251463532447815,20,11-20
UAF-count,40211206,0.7424097657203674,23,>20
UAF-count,40211207,0.7424097657203674,23,>20
UAF-count,40211208,0.7524121999740601,25,>20
UAF-count,40211209,0.7524121999740601,25,>20
UAF-count,40211211,0.7524121999740601,25,>20
UAF-count,40211213,0.7475437521934509,24,>20
UAF-count,40211214,0.7369851469993591,22,>20
UAF-count,40211215,0.7475437521934509,24,>20
UAF-count,40211216,0.7369851469993591,22,>20
UAF-count,40211217,0.7475437521934509,24,>20
UAF-count,40211218,0.5330074429512024,1,1-5
UAF-count,40211219,0.7312414646148682,21,>20
UAF-count,40211220,0.7424097657203674,23,>20
UAF-count,40211222,0.7251463532447815,20,11-20
UAF-count,40211223,0.7524121999740601,25,>20
UAF-count,40211224,0.7524121999740601,25,>20
UAF-count,40211225,0.7524121999740601,25,>20
UAF-count,40211226,0.7186623215675354,19,11-20
UAF-count,40211227,0.7475437521934509,24,>20
UAF-count,40211228,0.7369851469993591,22,>20
UAF-count,40211229,0.7424097657203674,23,>20
UAF-count,40211230,0.7475437521934509,24,>20
UAF-count,40211231,0.5781697630882263,5,1-5
UAF-count,40211232,0.630917489528656,9,6-10
UAF-count,40211233,0.7524121999740601,25,>20
UAF-count,40211234,0.7475437521934509,24,>20
UAF-count,40211235,0.7369851469993591,22,>20
UAF-count,40211236,0.5438188910484314,2,1-5
UAF-count,40211237,0.7424097657203674,23,>20
UAF-count,40211238,0.7475437521934509,24,>20
UAF-count,40211239,0.7524121999740601,25,>20
UAF-count,40211241,0.7424097657203674,23,>20
UAF-count,40211242,0.7424097657203674,23,>20
UAF-count,40211243,0.630917489528656,9,6-10
UAF-count,40211244,0.7475437521934509,24,>20
UAF-count,40211245,0.7475437521934509,24,>20
UAF-count,40211246,0.7369851469993591,22,>20
UAF-count,40211247,0.7524121999740601,25,>20
UAF-count,40211248,0.7312414646148682,21,>20
UAF-count,40211249,0.7424097657203674,23,>20
UAF-count,40211250,0.7369851469993591,22,>20
UAF-count,40211252,0.7475437521934509,24,>20
UAF-count,40211253,0.5330074429512024,1,1-5
UAF-count,40211254,0.5330074429512024,1,1-5
UAF-count,40211255,0.7475437521934509,24,>20
UAF-count,40211256,0.7424097657203674,23,>20
UAF-count,40211257,0.7475437521934509,24,>20
UAF-count,40211258,0.5330074429512024,1,1-5
UAF-count,40211259,0.7312414646148682,21,>20
UAF-count,40211260,0.6976392865180969,16,11-20
UAF-count,40211261,0.7312414646148682,21,>20
UAF-count,40211262,0.7251463532447815,20,11-20
UAF-count,40211263,0.7312414646148682,21,>20
UAF-count,40211264,0.5696923136711121,4,1-5
UAF-count,40211266,0.7312414646148682,21,>20
UAF-count,40211267,0.6898989081382751,15,11-20
UAF-count,40211268,0.5438188910484314,2,1-5
UAF-count,40311101,0.5330074429512024,1,1-5
UAF-count,40311104,0.704835832118988,17,11-20
UAF-count,40311105,0.704835832118988,17,11-20
UAF-count,40311106,0.6976392865180969,16,11-20
UAF-count,40311107,0.704835832118988,17,11-20
UAF-count,40311108,0.6976392865180969,16,11-20
UAF-count,40311109,0.5781697630882263,5,1-5
UAF-count,40311110,0.5781697630882263,5,1-5
UAF-count,40311111,0.704835832118988,17,11-20
UAF-count,40311112,0.704835832118988,17,11-20
UAF-count,40311113,0.5914853811264038,6,6-10
