model,seed,MAE,RMSE,Rating_Rows,Missing_Predictions,Fallback_Predictions,Cold_User_Rows,Cold_Item_Rows,Ranking_Eligible_Users,Precision@5,Recall@5,NDCG@5,HitRate@5,Precision@10,Recall@10,NDCG@10,HitRate@10,runtime_seconds,train_ratings,train_users,train_items,train_cold_start_users_vs_train,train_cold_start_items_vs_train,validation_ratings,validation_users,validation_items,validation_cold_start_users_vs_train,validation_cold_start_items_vs_train,test_ratings,test_users,test_items,test_cold_start_users_vs_train,test_cold_start_items_vs_train
MF,42,0.8292689014953842,1.024343442925574,599,0,0,0,0,185,0.06270270270270271,0.26126126126126126,0.1937683492151804,0.3027027027027027,0.04216216216216217,0.34054054054054056,0.22159676327462235,0.372972972972973,3.021683720871806,4845,460,151,0,0,600,458,89,0,0,599,458,88,0,0
LightGCN_RMSE,42,0.869719359034887,1.1676030688807588,599,0,0,0,0,185,0.13405405405405404,0.6324324324324324,0.4473553639883973,0.654054054054054,0.08540540540540541,0.772972972972973,0.4948806335682916,0.8216216216216217,1.1697152759879827,4845,460,151,0,0,600,458,89,0,0,599,458,88,0,0
LightGCN_Ranking,42,1.0342828903054953,1.3612976370725998,599,0,0,0,0,185,0.1913513513513514,0.8441441441441441,0.6730360123568213,0.8864864864864865,0.10540540540540541,0.9117117117117116,0.6969946949040355,0.9459459459459459,1.1425598058849573,4845,460,151,0,0,600,458,89,0,0,599,458,88,0,0
Vanilla_GCN,42,1.4889663099645574,1.8278868840886469,599,0,0,0,0,185,0.09945945945945946,0.47117117117117113,0.24436542875740164,0.4918918918918919,0.06162162162162162,0.5675675675675675,0.27466827514674047,0.6054054054054054,1.0343454852700233,4845,460,151,0,0,600,458,89,0,0,599,458,88,0,0
MF,123,0.8648611822319989,1.055171068706471,597,0,0,0,0,178,0.07303370786516854,0.31179775280898875,0.23241499419352807,0.3595505617977528,0.0455056179775281,0.38202247191011235,0.25685632288846666,0.43258426966292135,1.0133806969970465,4850,460,151,0,0,597,458,88,0,0,597,456,87,0,0
LightGCN_RMSE,123,0.8839571589800581,1.2008658785997621,597,0,0,0,0,178,0.13370786516853933,0.6254681647940076,0.4579568812759642,0.6573033707865169,0.08595505617977528,0.7556179775280899,0.5040592370046266,0.797752808988764,1.020676739513874,4850,460,151,0,0,597,458,88,0,0,597,456,87,0,0
LightGCN_Ranking,123,1.0778606702734277,1.4164163891657662,597,0,0,0,0,178,0.16404494382022472,0.7228464419475656,0.6127919831149801,0.7640449438202247,0.10393258426966293,0.8885767790262171,0.6709698258622275,0.9213483146067416,1.1516488399356604,4850,460,151,0,0,597,458,88,0,0,597,456,87,0,0
Vanilla_GCN,123,1.6056246156468863,1.9718306258819285,597,0,0,0,0,178,0.09662921348314607,0.4428838951310861,0.254032094120881,0.48314606741573035,0.060112359550561795,0.5440074906367041,0.28746559278724687,0.5898876404494382,1.0735894441604614,4850,460,151,0,0,597,458,88,0,0,597,456,87,0,0
MF,2026,0.806643535776409,0.9951966477374471,599,0,0,0,0,179,0.0681564245810056,0.26629422718808193,0.2036526354624557,0.30726256983240224,0.0446927374301676,0.3445065176908752,0.2307984111317119,0.39664804469273746,1.0548647455871105,4845,460,151,0,0,600,458,87,0,0,599,458,92,0,0
LightGCN_RMSE,2026,0.8436511778871285,1.1615484968564809,599,0,0,0,0,179,0.12960893854748604,0.5763500931098696,0.393059156084298,0.6312849162011173,0.08379888268156424,0.7048417132216014,0.4390154415338434,0.7597765363128491,1.027454026043415,4845,460,151,0,0,600,458,87,0,0,599,458,92,0,0
