model,train_interaction_bucket,users_mean,users_std,rating_rows_mean,rating_rows_std,ranking_eligible_users_mean,ranking_eligible_users_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std,Recall@5_mean,Recall@5_std,NDCG@5_mean,NDCG@5_std,HitRate@5_mean,HitRate@5_std
MF,1-5,171.6,0.5477225575051667,171.6,0.5477225575051667,53.2,3.9623225512317894,1.0766528861840112,0.036685495916479974,1.2316054816016062,0.03276325600371684,0.16236172087572828,0.020323404063678642,0.11627467052045684,0.022791747465199807,0.16236172087572828,0.020323404063678642
MF,6-10,92.8,0.44721359549995715,92.8,0.44721359549995715,23.6,1.949358868961793,0.8033001441329146,0.06859911334333381,0.9883033379821768,0.07768188126037978,0.28406179327918457,0.08275963265651654,0.21190121120976418,0.06297127194821008,0.28406179327918457,0.08275963265651654
MF,11-20,105.8,0.44721359549995815,139.2,0.8366600265340772,45.8,4.086563348340509,0.7668354850403842,0.024023076794821657,0.958445206278507,0.018771685980531545,0.3714412880551957,0.09112732891892598,0.2944213973302162,0.07865077087527575,0.3999599846615934,0.0887490888457843
MF,>20,87.0,0.0,194.6,0.5477225575051635,56.8,3.563705936241092,0.652960483768205,0.04733056991912832,0.8351654591896585,0.05511343280180673,0.3169101646690118,0.016481031969566844,0.24499434089654826,0.018884504556328376,0.4325960316265112,0.03368400763383811
LightGCN_RMSE,1-5,171.6,0.5477225575051667,171.6,0.5477225575051667,53.2,3.9623225512317894,1.1571524366746544,0.05054827126048275,1.5922784562176013,0.04700013032673997,0.6563056419705162,0.12944551663865983,0.5237969808409764,0.10347781303379054,0.6563056419705162,0.12944551663865983
LightGCN_RMSE,6-10,92.8,0.44721359549995715,92.8,0.44721359549995715,23.6,1.949358868961793,0.7886001840352233,0.04773568399807488,1.0330169288098694,0.04922069562047069,0.8823971970058926,0.029182516507437965,0.6614980836108334,0.05659059339012131,0.8823971970058926,0.029182516507437965
LightGCN_RMSE,11-20,105.8,0.44721359549995815,139.2,0.8366600265340772,45.8,4.086563348340509,0.7814013854101306,0.027418096127346022,0.9817272412057829,0.02664584133057367,0.791048116388023,0.012497920959040764,0.539293075426516,0.07562278536081977,0.8091926127266034,0.02637529859746401
LightGCN_RMSE,>20,87.0,0.0,194.6,0.5477225575051635,56.8,3.563705936241092,0.7048645640648518,0.038470026446980804,0.91450647997498,0.06562167868864315,0.3041056580099372,0.060704941459745365,0.20904380935170713,0.04189859886965793,0.40405935692356776,0.08565208503011729
LightGCN_Ranking,1-5,171.6,0.5477225575051667,171.6,0.5477225575051667,53.2,3.9623225512317894,1.323206560458194,0.041234396327204985,1.782156470480576,0.04152995381221278,0.8406131027557413,0.12955178059092634,0.711303331525299,0.06420752794247891,0.8406131027557413,0.12955178059092634
LightGCN_Ranking,6-10,92.8,0.44721359549995715,92.8,0.44721359549995715,23.6,1.949358868961793,0.9018519420192419,0.07883015618713897,1.1229002769003615,0.09746614997499892,0.8920159261028827,0.0783031341322493,0.7021886582664403,0.09708618388061102,0.8920159261028827,0.0783031341322493
LightGCN_Ranking,11-20,105.8,0.44721359549995815,139.2,0.8366600265340772,45.8,4.086563348340509,0.907131402063837,0.026238851349949188,1.1057338238972574,0.01945322231712327,0.900782678084183,0.06374030879961061,0.6713686936132415,0.024229052271576144,0.9133285955237174,0.06173377862478134
LightGCN_Ranking,>20,87.0,0.0,194.6,0.5477225575051635,56.8,3.563705936241092,0.9647353936729057,0.04237752154025801,1.2255137781214918,0.059202487250478684,0.513560901836392,0.08460165282208885,0.40425928461302985,0.08656932810485952,0.6379073793624663,0.09421611882187512
Vanilla_GCN,1-5,171.6,0.5477225575051667,171.6,0.5477225575051667,53.2,3.9623225512317894,1.9971332609369756,0.12279404765202769,2.3900698759429937,0.13473448151188847,0.9169696733605608,0.03208517124371415,0.5541576252821014,0.10619147478787296,0.9169696733605608,0.03208517124371415
Vanilla_GCN,6-10,92.8,0.44721359549995715,92.8,0.44721359549995715,23.6,1.949358868961793,1.6788311027042664,0.10679816752967436,1.9834208737438854,0.10502930286892855,0.47627265488135057,0.20859931683706748,0.2811964167021842,0.13716095589037114,0.47627265488135057,0.20859931683706748
Vanilla_GCN,11-20,105.8,0.44721359549995815,139.2,0.8366600265340772,45.8,4.086563348340509,1.3256708843092397,0.10937372281782261,1.657943768748043,0.13894916931292647,0.26262469814104483,0.0729332797077001,0.15544016235313096,0.06248608428491172,0.28496499867542935,0.07994859202435643
Vanilla_GCN,>20,87.0,0.0,194.6,0.5477225575051635,56.8,3.563705936241092,1.3947683903076267,0.06492155308388493,1.6851385322340182,0.072657269365891,0.1301363648271408,0.05363712748174243,0.07882544978731718,0.039604788517465093,0.2025797009202382,0.08263492063526652
