model,seed,train_interaction_bucket,users,rating_rows,ranking_eligible_users,MAE,RMSE,Recall@5,NDCG@5,HitRate@5
MF,42,1-5,172,172,58,1.0693175037239873,1.2277698972438542,0.13793103448275862,0.10385722438423844,0.13793103448275862
MF,42,6-10,93,93,25,0.7664597470273253,0.9280540459278324,0.28,0.18715529925818886,0.28
MF,42,11-20,106,139,44,0.7636777934410589,0.9756164146531071,0.3522727272727273,0.25147374887018864,0.36363636363636365
MF,42,>20,87,195,58,0.69424354663262,0.8968289193739352,0.3074712643678161,0.24275341653068144,0.43103448275862066
LightGCN_RMSE,42,1-5,172,172,58,1.1442681031171666,1.5388077749622764,0.8448275862068966,0.6032355972882703,0.8448275862068966
LightGCN_RMSE,42,6-10,93,93,25,0.8195928309553413,1.0574909116301878,0.84,0.600640075360163,0.84
LightGCN_RMSE,42,11-20,106,139,44,0.8056556398062398,1.0237658558817255,0.7954545454545454,0.5389113587560538,0.7954545454545454
LightGCN_RMSE,42,>20,87,195,58,0.6971257185324644,0.9048158805133538,0.20689655172413793,0.15594786251488607,0.27586206896551724
LightGCN_Ranking,42,1-5,172,172,58,1.3513172275798266,1.7839069664097207,0.9482758620689655,0.7457219504352259,0.9482758620689655
LightGCN_Ranking,42,6-10,93,93,25,0.9109379271025299,1.1568309315896563,0.96,0.7661859507142915,0.96
LightGCN_Ranking,42,11-20,106,139,44,0.8715629800618123,1.1099627332607382,0.8863636363636364,0.6810404381798223,0.8863636363636364
LightGCN_Ranking,42,>20,87,195,58,0.9294584958981245,1.1700482291080008,0.6580459770114943,0.5541269157413684,0.7931034482758621
Vanilla_GCN,42,1-5,172,172,58,1.815242538618487,2.185294857202401,0.9310344827586207,0.48577157722407266,0.9310344827586207
Vanilla_GCN,42,6-10,93,93,25,1.570388497844819,1.888371306711705,0.52,0.23255764848282362,0.52
Vanilla_GCN,42,11-20,106,139,44,1.1561740533911067,1.4258017768122462,0.26136363636363635,0.14780087815098747,0.2727272727272727
Vanilla_GCN,42,>20,87,195,58,1.3995629707972208,1.703337870385804,0.14942528735632182,0.08130470673119028,0.20689655172413793
MF,123,1-5,171,171,56,1.1391672976532874,1.2854748172345096,0.17857142857142858,0.10522837965561381,0.17857142857142858
MF,123,6-10,92,92,23,0.9219552511754243,1.1212210916271235,0.21739130434782608,0.174686198295913,0.21739130434782608
MF,123,11-20,106,139,45,0.7343634684308827,0.9293698804958233,0.5111111111111111,0.4134712631237182,0.5333333333333333
MF,123,>20,87,195,54,0.6904005778141511,0.866494343634164,0.32407407407407407,0.23802019082148712,0.46296296296296297
LightGCN_RMSE,123,1-5,171,171,56,1.1150496828625773,1.5669272573791988,0.7142857142857143,0.5674618105561963,0.7142857142857143
LightGCN_RMSE,123,6-10,92,92,23,0.8505612443322721,1.0881437600557264,0.8695652173913043,0.7428402315622036,0.8695652173913043
LightGCN_RMSE,123,11-20,106,139,45,0.7868677540648755,0.9705571142637893,0.8,0.5133393526562139,0.8222222222222222
LightGCN_RMSE,123,>20,87,195,54,0.7662701325538831,1.01578020601288,0.2839506172839506,0.17690494963915437,0.37037037037037035
LightGCN_Ranking,123,1-5,171,171,56,1.379774843043054,1.8527261510685409,0.8214285714285714,0.7486146058722597,0.8214285714285714
LightGCN_Ranking,123,6-10,92,92,23,0.9524287309335626,1.1567034313960167,0.8695652173913043,0.7558727013231573,0.8695652173913043
LightGCN_Ranking,123,11-20,106,139,45,0.941748165398193,1.1371876648771528,0.8222222222222222,0.6788439895003724,0.8444444444444444
