Student_ID,Split,Interactions
40111230,train,3
40111256,train,2
40205303,train,16
40211101,train,24
40211102,train,28
40211103,train,17
40211104,train,23
40211105,train,24
40211106,train,25
40211107,train,26
40211108,train,25
40211109,train,25
40211110,train,29
40211111,train,23
40211112,train,24
40211113,train,24
40211114,train,21
40211115,train,21
40211116,train,25
40211117,train,25
40211118,train,25
40211119,train,22
40211120,train,1
40211121,train,25
40211122,train,23
40211123,train,24
40211125,train,25
40211126,train,30
40211127,train,25
40211128,train,1
40211129,train,24
40211130,train,24
40211131,train,5
40211132,train,22
40211133,train,25
40211134,train,25
40211135,train,5
40211136,train,25
40211137,train,21
40211138,train,20
40211139,train,24
40211141,train,25
40211142,train,13
40211144,train,25
40211145,train,13
40211146,train,24
40211147,train,18
40211148,train,24
40211150,train,24
40211151,train,25
40211152,train,4
40211153,train,23
40211154,train,20
40211156,train,21
40211157,train,2
40211158,train,22
40211161,train,23
40211162,train,17
40211163,train,10
40211164,train,12
40211165,train,11
40211166,train,1
40211201,train,24
40211202,train,24
40211203,train,24
40211204,train,1
40211205,train,20
40211206,train,23
40211207,train,23
40211208,train,25
40211209,train,25
40211211,train,25
40211213,train,24
40211214,train,22
40211215,train,24
40211216,train,22
40211217,train,24
40211218,train,1
40211219,train,21
40211220,train,23
40211222,train,20
40211223,train,25
40211224,train,25
40211225,train,25
40211226,train,19
40211227,train,24
40211228,train,22
40211229,train,23
40211230,train,24
40211231,train,5
40211232,train,9
40211233,train,25
40211234,train,24
40211235,train,22
40211236,train,2
40211237,train,23
40211238,train,24
40211239,train,25
40211241,train,23
40211242,train,23
40211243,train,9
40211244,train,24
40211245,train,24
40211246,train,22
40211247,train,25
40211248,train,21
40211249,train,23
40211250,train,23
40211252,train,24
40211253,train,1
40211254,train,1
40211255,train,24
40211256,train,23
40211257,train,24
40211258,train,1
40211259,train,21
40211260,train,16
40211261,train,21
40211262,train,20
40211263,train,21
40211264,train,4
40211266,train,22
40211267,train,15
40211268,train,2
40311101,train,1
40311104,train,17
40311105,train,17
40311106,train,16
40311107,train,17
40311108,train,16
40311109,train,5
40311110,train,5
40311111,train,17
40311112,train,17
40311113,train,6
40311114,train,20
40311115,train,1
40311116,train,16
40311117,train,17
40311118,train,17
40311119,train,16
40311120,train,17
40311121,train,17
40311122,train,16
40311123,train,16
40311124,train,9
40311125,train,1
40311126,train,1
40311127,train,9
40311128,train,16
40311129,train,16
40311130,train,17
40311131,train,16
40311132,train,17
40311133,train,17
40311134,train,17
40311135,train,16
40311136,train,1
40311137,train,16
40311138,train,16
40311139,train,17
40311140,train,17
40311141,train,1
40311142,train,8
40311143,train,5
40311145,train,1
40311146,train,16
40311148,train,5
40311150,train,9
40311151,train,17
40311152,train,6
40311153,train,17
40311154,train,17
40311155,train,17
40311157,train,17
40311158,train,16
40311159,train,5
40311160,train,2
40311161,train,7
40311162,train,12
40311165,train,2
40311166,train,2
40311167,train,1
40311169,train,4
40311170,train,1
40311172,train,2
40311173,train,2
40311201,train,16
40311202,train,16
40311204,train,16
40311205,train,17
40311206,train,16
40311207,train,16
40311208,train,16
40311209,train,17
40311210,train,17
40311211,train,16
40311212,train,11
40311213,train,1
40311214,train,16
40311215,train,16
40311216,train,16
40311217,train,16
40311218,train,17
40311219,train,9
40311221,train,15
40311223,train,15
40311224,train,6
40311226,train,16
40311227,train,17
40311229,train,16
40311230,train,17
40311231,train,16
40311232,train,15
40311233,train,16
40311235,train,17
40311236,train,16
40311237,train,15
40311238,train,16
40311240,train,2
40311241,train,16
40311242,train,1
40311243,train,16
40311244,train,16
40311245,train,16
40311246,train,2
40311247,train,17
40311248,train,16
40311249,train,16
40311250,train,17
40311253,train,16
40311254,train,6
40311255,train,5
40311256,train,16
40311257,train,16
40311258,train,16
40311259,train,16
40311260,train,17
40311261,train,16
40311262,train,4
40311263,train,2
40311264,train,3
40311265,train,2
40311266,train,2
40312142,train,12
40320310,train,15
40320324,train,11
40320326,train,15
40327247,train,3
40333126,train,7
40411101,train,11
40411102,train,10
40411104,train,9
40411105,train,10
40411106,train,10
40411108,train,10
40411109,train,11
40411110,train,10
40411111,train,10
40411113,train,10
40411114,train,9
40411115,train,9
40411117,train,8
40411118,train,5
40411119,train,1
40411120,train,10
40411121,train,1
40411122,train,6
40411124,train,9
40411125,train,6
40411126,train,10
40411127,train,11
40411128,train,10
40411129,train,6
40411130,train,11
40411131,train,5
40411132,train,1
40411133,train,10
40411134,train,6
40411137,train,1
40411138,train,10
40411140,train,10
40411141,train,10
40411143,train,10
40411145,train,9
40411146,train,9
40411147,train,10
40411148,train,6
40411149,train,6
40411150,train,6
40411151,train,6
40411152,train,10
40411153,train,1
40411155,train,6
40411156,train,6
40411157,train,6
40411158,train,9
40411159,train,10
40411160,train,10
40411161,train,7
40411163,train,2
40411164,train,2
40411165,train,1
40411166,train,1
40411167,train,1
40411168,train,1
40411169,train,1
40411201,train,9
40411202,train,9
40411205,train,10
40411207,train,9
40411208,train,9
40411209,train,9
40411210,train,9
40411211,train,9
40411212,train,9
40411213,train,9
40411214,train,5
40411215,train,9
40411216,train,5
40411217,train,9
40411218,train,9
40411219,train,9
40411220,train,9
40411221,train,9
40411222,train,9
40411224,train,10
40411225,train,4
40411226,train,9
40411227,train,9
40411228,train,9
40411229,train,5
40411230,train,10
40411231,train,1
40411233,train,11
40411234,train,5
40411235,train,9
40411236,train,9
40411237,train,10
40411238,train,9
40411240,train,10
40411241,train,9
40411242,train,10
40411243,train,9
40411244,train,9
40411246,train,9
40411247,train,9
40411248,train,9
40411250,train,9
40411251,train,9
40411252,train,9
40411253,train,5
40411254,train,11
40411255,train,9
40411256,train,9
40411257,train,4
40411258,train,11
40411259,train,1
40411260,train,2
40411261,train,2
40411263,train,2
40411264,train,2
40411265,train,1
40511101,train,1
40511102,train,1
40511103,train,1
40511104,train,1
40511105,train,1
40511107,train,1
40511108,train,1
40511109,train,1
40511111,train,1
40511112,train,1
40511114,train,1
40511115,train,1
40511117,train,1
40511118,train,1
40511119,train,1
40511120,train,1
40511121,train,1
40511122,train,1
40511123,train,1
40511125,train,1
40511127,train,1
40511128,train,1
40511129,train,1
40511130,train,1
40511131,train,1
40511133,train,1
40511134,train,1
40511135,train,1
40511136,train,1
40511138,train,1
40511139,train,1
40511141,train,1
40511142,train,1
40511143,train,1
40511144,train,1
40511145,train,1
40511146,train,1
40511147,train,1
40511148,train,1
40511149,train,1
40511151,train,1
40511153,train,1
40511155,train,1
40511156,train,1
40511158,train,1
40511159,train,1
40511160,train,1
40511201,train,1
40511202,train,1
40511203,train,1
40511204,train,1
40511205,train,1
40511206,train,1
40511207,train,1
40511208,train,1
40511209,train,1
40511210,train,1
40511211,train,1
40511212,train,1
40511213,train,1
40511215,train,1
40511217,train,1
40511218,train,1
40511219,train,1
40511220,train,1
40511221,train,1
40511222,train,1
40511223,train,1
40511224,train,1
40511225,train,1
40511226,train,1
40511227,train,1
40511228,train,1
40511229,train,1
40511231,train,1
40511233,train,1
40511234,train,1
40511235,train,1
40511237,train,1
40511238,train,1
40511239,train,1
40511242,train,1
40511243,train,1
40511244,train,1
40511246,train,1
40511247,train,1
40511248,train,1
40511250,train,1
40511251,train,1
40511252,train,1
40511253,train,1
40511255,train,1
40511256,train,1
40511258,train,1
40511259,train,1
40511260,train,1
40511262,train,1
40111230,validation,1
40111256,validation,1
40205303,validation,2
40211101,validation,3
40211102,validation,3
40211103,validation,2
40211104,validation,2
40211105,validation,3
40211106,validation,2
40211107,validation,3
40211108,validation,3
40211109,validation,2
40211110,validation,2
40211111,validation,2
40211112,validation,3
40211113,validation,2
40211114,validation,2
40211115,validation,2
40211116,validation,2
40211117,validation,2
40211118,validation,3
40211119,validation,2
40211120,validation,1
40211121,validation,2
40211122,validation,2
40211123,validation,3
40211125,validation,2
40211126,validation,3
40211127,validation,3
40211128,validation,1
40211129,validation,3
40211130,validation,3
40211131,validation,1
40211132,validation,2
40211133,validation,2
40211134,validation,3
40211135,validation,1
40211136,validation,2
40211137,validation,2
40211138,validation,2
40211139,validation,2
40211141,validation,3
40211142,validation,1
40211144,validation,2
40211145,validation,1
40211146,validation,2
40211147,validation,2
40211148,validation,2
40211150,validation,3
40211151,validation,2
40211152,validation,1
40211153,validation,2
40211154,validation,2
40211156,validation,2
40211157,validation,1
40211158,validation,2
40211161,validation,2
40211162,validation,2
40211163,validation,1
40211164,validation,1
40211165,validation,1
40211166,validation,1
40211201,validation,3
40211202,validation,2
40211203,validation,2
40211204,validation,1
40211205,validation,2
40211206,validation,2
40211207,validation,2
40211208,validation,2
40211209,validation,2
40211211,validation,3
40211213,validation,2
40211214,validation,2
40211215,validation,3
40211216,validation,2
40211217,validation,2
40211218,validation,1
40211219,validation,2
40211220,validation,2
40211222,validation,2
40211223,validation,2
40211224,validation,2
40211225,validation,2
40211226,validation,2
40211227,validation,2
40211228,validation,2
40211229,validation,2
40211230,validation,2
40211231,validation,1
40211232,validation,1
40211233,validation,2
40211234,validation,3
40211235,validation,2
40211236,validation,1
40211237,validation,2
40211238,validation,2
40211239,validation,2
40211241,validation,2
40211242,validation,2
40211243,validation,1
40211244,validation,3
40211245,validation,2
40211246,validation,2
40211247,validation,2
40211248,validation,2
40211249,validation,2
40211250,validation,1
40211252,validation,2
40211253,validation,1
40211254,validation,1
40211255,validation,2
40211256,validation,2
40211257,validation,2
40211258,validation,1
40211259,validation,2
40211260,validation,2
40211261,validation,2
40211262,validation,2
40211263,validation,2
40211264,validation,1
40211266,validation,1
40211267,validation,1
40211268,validation,0
40311101,validation,1
40311104,validation,2
40311105,validation,2
40311106,validation,1
40311107,validation,2
40311108,validation,2
40311109,validation,1
40311110,validation,1
40311111,validation,1
40311112,validation,2
40311113,validation,1
40311114,validation,2
40311115,validation,1
40311116,validation,1
40311117,validation,2
40311118,validation,2
40311119,validation,2
40311120,validation,1
40311121,validation,1
40311122,validation,2
40311123,validation,2
40311124,validation,1
40311125,validation,1
40311126,validation,1
40311127,validation,1
40311128,validation,2
40311129,validation,1
40311130,validation,2
40311131,validation,1
40311132,validation,2
40311133,validation,2
40311134,validation,2
40311135,validation,2
40311136,validation,1
40311137,validation,2
40311138,validation,2
40311139,validation,2
40311140,validation,1
40311141,validation,1
40311142,validation,1
40311143,validation,1
40311145,validation,1
40311146,validation,2
40311148,validation,1
40311150,validation,1
40311151,validation,1
40311152,validation,1
40311153,validation,1
40311154,validation,1
40311155,validation,1
40311157,validation,1
40311158,validation,1
40311159,validation,1
40311160,validation,1
40311161,validation,1
40311162,validation,1
40311165,validation,1
40311166,validation,1
40311167,validation,1
40311169,validation,1
40311170,validation,1
40311172,validation,1
40311173,validation,1
40311201,validation,1
40311202,validation,1
40311204,validation,1
40311205,validation,1
40311206,validation,1
40311207,validation,1
40311208,validation,1
40311209,validation,1
40311210,validation,1
40311211,validation,2
40311212,validation,1
40311213,validation,1
40311214,validation,1
40311215,validation,1
40311216,validation,1
40311217,validation,1
40311218,validation,1
40311219,validation,1
40311221,validation,1
40311223,validation,1
40311224,validation,1
40311226,validation,1
40311227,validation,1
40311229,validation,1
40311230,validation,1
40311231,validation,1
40311232,validation,1
40311233,validation,1
40311235,validation,1
40311236,validation,1
40311237,validation,1
40311238,validation,1
40311240,validation,1
40311241,validation,1
40311242,validation,1
40311243,validation,1
40311244,validation,1
40311245,validation,1
40311246,validation,1
40311247,validation,1
40311248,validation,1
40311249,validation,1
40311250,validation,2
40311253,validation,1
40311254,validation,1
40311255,validation,1
40311256,validation,1
40311257,validation,1
40311258,validation,1
40311259,validation,1
40311260,validation,1
40311261,validation,1
40311262,validation,1
40311263,validation,1
40311264,validation,1
40311265,validation,1
40311266,validation,1
40312142,validation,1
40320310,validation,1
40320324,validation,1
40320326,validation,1
40327247,validation,1
40333126,validation,1
40411101,validation,1
40411102,validation,1
40411104,validation,1
40411105,validation,1
40411106,validation,1
40411108,validation,1
40411109,validation,1
40411110,validation,1
40411111,validation,1
40411113,validation,1
40411114,validation,1
40411115,validation,1
40411117,validation,1
40411118,validation,1
40411119,validation,1
40411120,validation,1
40411121,validation,1
40411122,validation,1
40411124,validation,1
40411125,validation,1
40411126,validation,1
40411127,validation,1
40411128,validation,1
40411129,validation,1
40411130,validation,1
40411131,validation,1
40411132,validation,1
40411133,validation,1
40411134,validation,1
40411137,validation,1
40411138,validation,1
40411140,validation,1
40411141,validation,1
40411143,validation,1
40411145,validation,1
40411146,validation,1
40411147,validation,1
40411148,validation,1
40411149,validation,1
40411150,validation,1
40411151,validation,1
40411152,validation,1
40411153,validation,1
40411155,validation,1
40411156,validation,1
40411157,validation,1
40411158,validation,1
40411159,validation,1
40411160,validation,1
40411161,validation,1
40411163,validation,1
40411164,validation,1
40411165,validation,1
40411166,validation,1
40411167,validation,1
40411168,validation,1
40411169,validation,1
40411201,validation,1
40411202,validation,1
40411205,validation,1
40411207,validation,1
40411208,validation,1
40411209,validation,1
40411210,validation,1
40411211,validation,1
40411212,validation,1
40411213,validation,1
40411214,validation,1
40411215,validation,1
40411216,validation,1
40411217,validation,1
40411218,validation,1
40411219,validation,1
40411220,validation,1
40411221,validation,1
40411222,validation,1
40411224,validation,1
40411225,validation,1
40411226,validation,1
40411227,validation,1
40411228,validation,1
40411229,validation,1
40411230,validation,1
40411231,validation,1
40411233,validation,1
40411234,validation,1
40411235,validation,1
40411236,validation,1
40411237,validation,1
40411238,validation,1
40411240,validation,1
40411241,validation,1
40411242,validation,1
40411243,validation,1
40411244,validation,1
40411246,validation,1
40411247,validation,1
40411248,validation,1
40411250,validation,1
40411251,validation,1
40411252,validation,1
40411253,validation,1
40411254,validation,1
40411255,validation,1
40411256,validation,1
40411257,validation,1
40411258,validation,1
40411259,validation,1
40411260,validation,0
40411261,validation,1
40411263,validation,1
40411264,validation,1
40411265,validation,1
40511101,validation,1
40511102,validation,1
40511103,validation,1
40511104,validation,1
40511105,validation,1
40511107,validation,1
40511108,validation,1
40511109,validation,1
40511111,validation,1
40511112,validation,1
40511114,validation,1
40511115,validation,1
40511117,validation,1
40511118,validation,1
40511119,validation,1
40511120,validation,1
40511121,validation,1
40511122,validation,1
40511123,validation,1
40511125,validation,1
40511127,validation,1
40511128,validation,1
40511129,validation,1
40511130,validation,1
40511131,validation,1
40511133,validation,1
40511134,validation,1
40511135,validation,1
40511136,validation,1
40511138,validation,1
40511139,validation,1
40511141,validation,1
40511142,validation,1
40511143,validation,1
40511144,validation,1
40511145,validation,1
40511146,validation,1
40511147,validation,1
40511148,validation,1
40511149,validation,1
40511151,validation,1
40511153,validation,1
40511155,validation,1
40511156,validation,1
40511158,validation,1
40511159,validation,1
40511160,validation,1
40511201,validation,1
40511202,validation,1
40511203,validation,1
40511204,validation,1
40511205,validation,1
40511206,validation,1
40511207,validation,1
40511208,validation,1
40511209,validation,1
40511210,validation,1
40511211,validation,1
40511212,validation,1
40511213,validation,1
40511215,validation,1
40511217,validation,1
40511218,validation,1
40511219,validation,1
40511220,validation,1
40511221,validation,1
40511222,validation,1
40511223,validation,1
40511224,validation,1
40511225,validation,1
40511226,validation,1
40511227,validation,1
40511228,validation,1
40511229,validation,1
40511231,validation,1
40511233,validation,1
40511234,validation,1
40511235,validation,1
40511237,validation,1
40511238,validation,1
40511239,validation,1
40511242,validation,1
40511243,validation,1
40511244,validation,1
40511246,validation,1
40511247,validation,1
40511248,validation,1
40511250,validation,1
40511251,validation,1
40511252,validation,1
40511253,validation,1
40511255,validation,1
40511256,validation,1
40511258,validation,1
40511259,validation,1
40511260,validation,1
40511262,validation,1
40111230,test,1
40111256,test,1
40205303,test,2
40211101,test,3
40211102,test,3
40211103,test,2
40211104,test,2
40211105,test,3
40211106,test,2
40211107,test,3
40211108,test,3
40211109,test,2
40211110,test,3
40211111,test,2
40211112,test,3
40211113,test,2
40211114,test,2
40211115,test,2
40211116,test,2
40211117,test,2
40211118,test,3
40211119,test,2
40211120,test,1
40211121,test,2
40211122,test,2
40211123,test,3
40211125,test,2
40211126,test,3
40211127,test,3
40211128,test,1
40211129,test,3
40211130,test,3
40211131,test,1
40211132,test,2
40211133,test,2
40211134,test,3
40211135,test,1
40211136,test,2
40211137,test,2
40211138,test,2
40211139,test,2
40211141,test,3
40211142,test,1
40211144,test,2
40211145,test,1
40211146,test,2
40211147,test,2
40211148,test,2
40211150,test,3
40211151,test,2
40211152,test,1
40211153,test,2
40211154,test,2
40211156,test,2
40211157,test,1
40211158,test,2
40211161,test,2
40211162,test,2
40211163,test,1
40211164,test,1
40211165,test,1
40211166,test,1
40211201,test,3
40211202,test,2
40211203,test,2
40211204,test,1
40211205,test,2
40211206,test,2
40211207,test,2
40211208,test,2
40211209,test,2
40211211,test,3
40211213,test,2
40211214,test,2
40211215,test,3
40211216,test,2
40211217,test,2
40211218,test,1
40211219,test,2
40211220,test,2
40211222,test,2
40211223,test,2
40211224,test,2
40211225,test,2
40211226,test,2
40211227,test,2
40211228,test,2
40211229,test,2
40211230,test,2
40211231,test,1
40211232,test,1
40211233,test,2
40211234,test,3
40211235,test,2
40211236,test,1
40211237,test,2
40211238,test,2
40211239,test,2
40211241,test,2
40211242,test,2
40211243,test,1
40211244,test,3
40211245,test,2
40211246,test,2
40211247,test,2
40211248,test,2
40211249,test,2
40211250,test,2
40211252,test,2
40211253,test,1
40211254,test,1
40211255,test,2
40211256,test,2
40211257,test,2
40211258,test,1
40211259,test,2
40211260,test,2
40211261,test,2
40211262,test,2
40211263,test,2
40211264,test,1
40211266,test,2
40211267,test,1
40211268,test,0
40311101,test,1
40311104,test,2
40311105,test,2
40311106,test,1
40311107,test,2
40311108,test,2
40311109,test,1
40311110,test,1
40311111,test,1
40311112,test,2
40311113,test,1
40311114,test,1
40311115,test,1
40311116,test,1
40311117,test,2
40311118,test,2
40311119,test,2
40311120,test,1
40311121,test,1
40311122,test,2
40311123,test,2
40311124,test,1
40311125,test,1
40311126,test,1
40311127,test,1
40311128,test,2
40311129,test,1
40311130,test,2
40311131,test,1
40311132,test,2
40311133,test,2
40311134,test,2
40311135,test,2
40311136,test,1
40311137,test,2
40311138,test,2
40311139,test,2
40311140,test,1
40311141,test,1
40311142,test,1
40311143,test,1
40311145,test,1
40311146,test,2
40311148,test,1
40311150,test,1
40311151,test,1
40311152,test,1
40311153,test,1
40311154,test,1
40311155,test,1
40311157,test,1
40311158,test,1
40311159,test,1
40311160,test,1
40311161,test,1
40311162,test,1
40311165,test,1
40311166,test,1
40311167,test,1
40311169,test,1
40311170,test,1
40311172,test,1
40311173,test,1
40311201,test,1
40311202,test,1
40311204,test,1
40311205,test,1
40311206,test,1
40311207,test,1
40311208,test,1
40311209,test,1
40311210,test,1
40311211,test,2
40311212,test,1
40311213,test,1
40311214,test,1
40311215,test,1
40311216,test,1
40311217,test,1
40311218,test,1
