Student_ID,Course_ID,Actual,Predicted,Error
40411202,40BR472,3.0,2.5094,0.4906
40311247,40BA052,5.0,4.5782,0.4218
40211206,40BR122,5.0,2.9322,2.0678
40511218,40B0292,5.0,4.6606,0.3394
40211202,40BR342,2.0,2.6963,0.6963
40311256,40BA122,3.0,3.2662,0.2662
40211109,40BA091,1.0,2.9242,1.9242
40311211,40BA062,1.0,3.8333,2.8333
40311211,40BA012,1.0,4.9614,3.9614
40211148,40BQ021,4.0,2.7282,1.2718
40211220,40BA082,4.0,3.744,0.256
40311215,40BR372,4.0,3.2279,0.7721
40311207,40BA222,5.0,3.0895,1.9105
40211250,40BR222,4.0,2.6877,1.3123
40211133,40BA121,3.0,3.369,0.369
40311259,40BA122,1.0,3.266,2.266
40211138,40BQ331,3.0,2.8456,0.1544
40211121,40BC051,3.0,3.279,0.279
40311108,40BA061,2.0,3.8556,1.8556
40211125,40BC051,4.0,3.2536,0.7464
40411111,40BC011,1.0,3.8715,2.8715
40211138,40B0291,2.0,4.6934,2.6934
40311155,40BA011,4.0,5.0,1.0
40211217,40BA102,5.0,3.5986,1.4014
40411202,40BA062,2.0,3.8348,1.8348
40211106,40BQ051,4.0,2.8209,1.1791
40511204,40B0292,5.0,4.6236,0.3764
40211150,40BC011,3.0,3.8713,0.8713
40311108,40BA141,2.0,3.1877,1.1877
40411129,40B0291,2.0,4.6944,2.6944
40311109,40BA011,1.0,5.0,4.0
40411145,40BA051,1.0,4.6379,3.6379
40211125,40BA091,1.0,2.9031,1.9031
40311226,40BR072,4.0,3.2864,0.7136
40211135,40BA011,4.0,5.0,1.0
40211217,40BA092,5.0,2.8431,2.1569
40311134,409A011,2.0,1.665,0.335
40211102,40BQ391,4.0,2.8564,1.1436
40211117,40BQ051,4.0,2.8207,1.1793
40311236,40BA082,4.0,3.7455,0.2545
40311244,40BR072,3.0,3.2865,0.2865
40411248,40BA012,4.0,4.9619,0.9619
40311246,40BA052,3.0,4.5805,1.5805
40311140,40BQ341,5.0,2.136,2.864
40411120,40BC071,4.0,3.1047,0.8953
40211232,40BA012,1.0,4.9617,3.9617
40211102,40BA151,4.0,2.8866,1.1134
40411118,40BA081,1.0,3.7676,2.7676
40211156,40BQ171,3.0,2.7005,0.2995
40211207,40BR082,5.0,2.9364,2.0636
40211113,40B9662,4.0,2.2575,1.7425
40311150,40B0291,3.0,4.6941,1.6941
40311127,40BA061,1.0,3.8561,2.8561
40311247,40BR372,4.0,3.2277,0.7723
40211129,40BA101,4.0,3.939,0.061
40211127,40B0291,4.0,4.6944,0.6944
40211102,40KA393,4.0,1.0326,2.9674
40211245,40BR082,3.0,2.9359,0.0641
40411163,40BA221,3.0,3.0812,0.0812
40311117,40BQ341,4.0,2.1359,1.8641
40311111,40BA141,2.0,3.1875,1.1875
40211146,40BA021,2.0,3.6733,1.6733
40311150,40BA101,1.0,3.941,2.941
40311216,40BR022,3.0,3.0742,0.0742
40411150,40BA051,1.0,4.6788,3.6788
40211126,40KA513,3.0,1.9689,1.0311
40211126,40KE011,3.0,1.0,2.0
40211252,40BA052,3.0,4.5771,1.5771
40411242,40BA222,3.0,3.0888,0.0888
40211162,40BA091,1.0,2.9033,1.9033
40411129,40BQ031,3.0,2.8803,0.1197
40411247,40BA052,3.0,4.5791,1.5791
40211158,40BC061,3.0,2.9644,0.0356
40211214,40BA012,4.0,4.96,0.96
40211107,40BA141,1.0,3.3685,2.3685
40311256,40B8932,5.0,2.0954,2.9046
40211252,40BA142,5.0,2.903,2.097
40311138,40BA081,3.0,3.7363,0.7363
40211146,40BQ051,3.0,2.8412,0.1588
40311235,40K0051,1.0,2.0201,1.0201
40311150,40BA021,1.0,3.6735,2.6735
40411236,40BA082,4.0,3.7455,0.2545
40411120,40BC011,3.0,3.8714,0.8714
40311254,40BA052,3.0,4.5791,1.5791
40411219,40B0292,5.0,4.6252,0.3748
40311223,40B0292,3.0,4.6244,1.6244
40211117,40BC021,2.0,3.3529,1.3529
40211229,90B2681,4.0,1.7002,2.2998
40211220,40BR042,4.0,3.2787,0.7213
40211209,40BR222,4.0,2.6879,1.3121
40333126,40BA221,1.0,3.0813,2.0813
40211105,40BC051,2.0,3.2784,1.2784
40211108,40BC061,5.0,2.9864,2.0136
40211202,40BA102,3.0,3.5985,0.5985
40211261,40BA022,5.0,3.8276,1.1724
40311128,40BA221,3.0,3.1042,0.1042
40211242,40BA102,4.0,3.5987,0.4013
40211250,40BA012,3.0,4.9596,1.9596
40211111,40B0291,2.0,4.694,2.694
40211208,433A011,1.0,1.7545,0.7545
40211156,40BQ381,4.0,2.5722,1.4278
40211127,40BQ321,4.0,3.0109,0.9891
40211109,40BC021,3.0,3.3791,0.3791
40511103,40BA051,1.0,4.6796,3.6796
40211146,40BA101,1.0,3.941,2.941
40211148,40BA121,4.0,3.369,0.631
40211230,409Z491,5.0,1.9957,3.0043
40211144,40BC021,1.0,3.3791,2.3791
40411224,40B0292,5.0,4.6243,0.3757
40211247,40BR042,1.0,3.2787,2.2787
40211113,40BQ331,1.0,2.8454,1.8454
40411215,40BA062,1.0,3.8353,2.8353
40511133,40BA011,5.0,5.0,0.0
40211109,40BQ391,4.0,2.8769,1.1231
40311205,40BA102,4.0,3.5998,0.4002
40211206,40BA122,3.0,3.2646,0.2646
40211127,40BA121,4.0,3.3695,0.6305
40311206,40BA082,4.0,3.745,0.255
40311238,40BA102,3.0,3.5997,0.5997
40411252,40BA222,3.0,3.0895,0.0895
40311217,40BA102,3.0,3.5996,0.5996
40311232,40BA062,1.0,3.8334,2.8334
40211228,409Z511,4.0,1.9031,2.0969
40411230,40BA062,1.0,3.833,2.833
40211113,40BA131,3.0,3.4064,0.4064
40211259,40BD052,4.0,2.929,1.071
40211132,40B0291,2.0,4.6937,2.6937
40211234,40BD032,4.0,3.3811,0.6189
40411133,40BA081,1.0,3.7677,2.7677
40311166,40BQ311,3.0,2.9863,0.0137
40211228,40BR032,4.0,2.7846,1.2154
40211111,40BC011,1.0,3.9031,2.9031
40311214,40BA052,3.0,4.5786,1.5786
40211264,40BD012,1.0,3.7771,2.7771
40211108,40BC021,4.0,3.3792,0.6208
40311137,40BC021,5.0,3.3795,1.6205
40311123,40B0291,2.0,4.6931,2.6931
40211219,40BA152,4.0,2.7104,1.2896
40211104,40BA121,3.0,3.3691,0.3691
40411128,40BA061,3.0,3.8241,0.8241
40511246,40BA012,4.0,4.9653,0.9653
40211141,40BA101,3.0,3.941,0.941
40311226,40BR022,3.0,3.0737,0.0737
40211267,40BA132,3.0,3.255,0.255
40411217,40BA062,5.0,3.8337,1.1663
40211242,40BA022,4.0,3.8285,0.1715
40411230,40BA082,2.0,3.7448,1.7448
40211142,40BQ021,1.0,2.728,1.728
40411208,40BR022,3.0,3.0743,0.0743
40311206,40BA222,3.0,3.0891,0.0891
40211237,40BA102,3.0,3.5984,0.5984
40211205,40B0292,5.0,4.623,0.377
40311250,40UN160,4.0,1.9819,2.0181
40511238,40BA052,4.0,4.581,0.581
40311121,40BA051,3.0,4.6784,1.6784
40211257,40BA102,1.0,3.5986,2.5986
40311122,40BA121,2.0,3.3691,1.3691
40411141,40BA101,1.0,3.9415,2.9415
40511209,40B0292,4.0,4.6229,0.6229
40311261,40B8932,4.0,2.0954,1.9046
40211117,40UN110,4.0,2.4651,1.5349
40311201,40BA122,5.0,3.2661,1.7339
40211246,40BA062,5.0,3.8323,1.1677
40311114,40BQ341,5.0,2.136,2.864
40311224,40BA022,1.0,3.8295,2.8295
40311229,40BA132,5.0,3.2569,1.7431
40311112,40BQ341,5.0,2.136,2.864
40211105,40BQ171,1.0,2.7194,1.7194
40311221,40BA062,1.0,3.8336,2.8336
40211248,40BR342,3.0,2.6962,0.3038
40211246,40BA082,3.0,3.7441,0.7441
40211105,40BA121,3.0,3.369,0.369
40411227,40BA052,4.0,4.5789,0.5789
40211262,40BD012,4.0,3.7749,0.2251
40411115,40BA021,2.0,3.6736,1.6736
40311121,40BA021,3.0,3.673,0.673
40411207,40B0292,4.0,4.6255,0.6255
40411140,40BQ311,2.0,2.9862,0.9862
40311264,4069582,2.0,2.1805,0.1805
40311119,40BA131,2.0,3.3804,1.3804
40411210,40BA062,3.0,3.8339,0.8339
40411202,40BA082,3.0,3.7466,0.7466
40411164,40BA101,2.0,3.9089,1.9089
40211229,40BR122,5.0,2.9327,2.0673
40511217,40B0292,4.0,4.6229,0.6229
40211259,40BA122,2.0,3.2645,1.2645
40211255,40BD032,3.0,3.3812,0.3812
40211142,40BA061,4.0,3.8545,0.1455
40211249,40BR042,2.0,3.2787,1.2787
40311148,40BC071,3.0,3.1044,0.1044
40311232,40BQ512,3.0,2.699,0.301
40211161,40B9651,3.0,2.1812,0.8188
40211209,40BA082,2.0,3.7443,1.7443
40311209,40B0292,1.0,4.6245,3.6245
40311259,40BA052,5.0,4.5783,0.4217
40411237,40BD012,3.0,3.7751,0.7751
40411219,40BA052,3.0,4.5789,1.5789
40211213,40BA132,1.0,3.2555,2.2555
40311250,40BD012,5.0,3.7752,1.2248
40311137,40BQ331,3.0,2.846,0.154
40511206,40BA052,4.0,4.5832,0.5832
40511229,40B0292,4.0,4.6226,0.6226
40311229,40BR072,4.0,3.2869,0.7131
40211234,40BA102,4.0,3.5986,0.4014
40211238,40BD012,1.0,3.7748,2.7748
40311211,40B0292,3.0,4.6244,1.6244
40311238,40BQ512,4.0,2.6991,1.3009
40411243,40BA012,1.0,4.9621,3.9621
40311129,40BQ321,2.0,3.0108,1.0108
40211150,40BA051,3.0,4.6379,1.6379
40411236,40BR022,4.0,3.0741,0.9259
40211117,40BA091,1.0,2.903,1.903
40411231,40BA012,1.0,4.9597,3.9597
40311205,40BR372,5.0,3.2279,1.7721
40211217,40BA052,4.0,4.577,0.577
40211146,40BA141,3.0,3.1876,0.1876
40411138,40BC011,1.0,3.8714,2.8714
40211156,40BR372,3.0,3.2252,0.2252
40411208,40BA052,3.0,4.5789,1.5789
40205303,40BR072,3.0,3.2852,0.2852
40411220,40BA062,2.0,3.8333,1.8333
40411213,40BD012,4.0,3.7761,0.2239
40211267,40BD052,1.0,2.929,1.929
40211129,40BA141,4.0,3.1864,0.8136
40211126,433N062,5.0,1.9718,3.0282
40211102,409U053,5.0,1.987,3.013
40211134,40BA061,4.0,3.8553,0.1447
40311134,40BQ321,3.0,3.0109,0.0109
40211203,40BA022,3.0,3.8281,0.8281
40211147,40BC051,1.0,3.2783,2.2783
40311217,40BD012,4.0,3.7757,0.2243
40211233,40BA152,2.0,2.7108,0.7108
40211137,40BQ391,2.0,2.877,0.877
40411106,40BA051,3.0,4.6792,1.6792
40311158,40UN130,5.0,1.9241,3.0759
40211116,40BQ021,4.0,2.7284,1.2716
40311202,40BA082,4.0,3.7456,0.2544
