Student_ID,Course_ID,Actual,Predicted,Error
40411202,40BR472,3,3.2886,0.2886
40311247,40BA052,5,3.7325,1.2675
40211206,40BR122,5,4.9011,0.0989
40511218,40B0292,5,3.0569,1.9431
40211202,40BR342,2,3.7062,1.7062
40311256,40BA122,3,4.0412,1.0412
40211109,40BA091,1,1.2082,0.2082
40311211,40BA062,1,2.23,1.23
40311211,40BA012,1,2.4702,1.4702
40211148,40BQ021,4,3.221,0.779
40211220,40BA082,4,4.0337,0.0337
40311215,40BR372,4,4.0885,0.0885
40311207,40BA222,5,4.2256,0.7744
40211250,40BR222,4,4.2148,0.2148
40211133,40BA121,3,3.942,0.942
40311259,40BA122,1,3.1988,2.1988
40211138,40BQ331,3,3.1012,0.1012
40211121,40BC051,3,2.717,0.283
40311108,40BA061,2,2.9415,0.9415
40211125,40BC051,4,3.5938,0.4062
40411111,40BC011,1,1.4652,0.4652
40211138,40B0291,2,3.3284,1.3284
40311155,40BA011,4,3.0284,0.9716
40211217,40BA102,5,3.8774,1.1226
40411202,40BA062,2,2.6783,0.6783
40211106,40BQ051,4,3.4268,0.5732
40511204,40B0292,5,3.0024,1.9976
40211150,40BC011,3,3.1959,0.1959
40311108,40BA141,2,2.4063,0.4063
40411129,40B0291,2,2.3834,0.3834
40311109,40BA011,1,1.5033,0.5033
40411145,40BA051,1,1.2387,0.2387
40211125,40BA091,1,2.5088,1.5088
40311226,40BR072,4,3.2662,0.7338
40211135,40BA011,4,2.7346,1.2654
40211217,40BA092,5,4.5319,0.4681
40311134,409A011,2,2.6237,0.6237
40211102,40BQ391,4,4.0958,0.0958
40211117,40BQ051,4,2.2796,1.7204
40311236,40BA082,4,4.3182,0.3182
40311244,40BR072,3,3.1322,0.1322
40411248,40BA012,4,3.2667,0.7333
40311246,40BA052,3,2.1291,0.8709
40311140,40BQ341,5,3.6777,1.3223
40411120,40BC071,4,3.8723,0.1277
40211232,40BA012,1,2.3972,1.3972
40211102,40BA151,4,4.2439,0.2439
40411118,40BA081,1,1.6151,0.6151
40211156,40BQ171,3,4.489,1.489
40211207,40BR082,5,4.359,0.641
40211113,40B9662,4,3.2725,0.7275
40311150,40B0291,3,2.5541,0.4459
40311127,40BA061,1,1.4346,0.4346
40311247,40BR372,4,3.4915,0.5085
40211129,40BA101,4,3.4377,0.5623
40211127,40B0291,4,3.8858,0.1142
40211102,40KA393,4,0.0,4.0
40211245,40BR082,3,2.6804,0.3196
40411163,40BA221,3,3.2057,0.2057
40311117,40BQ341,4,4.0343,0.0343
40311111,40BA141,2,2.1194,0.1194
40211146,40BA021,2,2.7888,0.7888
40311150,40BA101,1,1.8915,0.8915
40311216,40BR022,3,3.1693,0.1693
40411150,40BA051,1,1.875,0.875
40211126,40KA513,3,3.3657,0.3657
40211126,40KE011,3,0.0,3.0
40211252,40BA052,3,3.1275,0.1275
40411242,40BA222,3,2.0064,0.9936
40211162,40BA091,1,2.0932,1.0932
40411129,40BQ031,3,1.4802,1.5198
40411247,40BA052,3,3.1793,0.1793
40211158,40BC061,3,3.0152,0.0152
40211214,40BA012,4,1.867,2.133
40211107,40BA141,1,1.4946,0.4946
40311256,40B8932,5,4.2117,0.7883
40211252,40BA142,5,4.2298,0.7702
40311138,40BA081,3,3.2379,0.2379
40211146,40BQ051,3,3.0144,0.0144
40311235,40K0051,1,2.239,1.239
40311150,40BA021,1,1.8188,0.8188
40411236,40BA082,4,3.3064,0.6936
40411120,40BC011,3,3.7293,0.7293
40311254,40BA052,3,2.9614,0.0386
40411219,40B0292,5,3.1423,1.8577
40311223,40B0292,3,2.6028,0.3972
40211117,40BC021,2,2.255,0.255
40211229,90B2681,4,3.1814,0.8186
40211220,40BR042,4,4.1365,0.1365
40211209,40BR222,4,2.4216,1.5784
40333126,40BA221,1,0.9886,0.0114
40211105,40BC051,2,1.5425,0.4575
40211108,40BC061,5,3.9686,1.0314
40211202,40BA102,3,3.326,0.326
40211261,40BA022,5,3.5144,1.4856
40311128,40BA221,3,3.6278,0.6278
40211242,40BA102,4,4.4926,0.4926
40211250,40BA012,3,3.0537,0.0537
40211111,40B0291,2,2.5236,0.5236
40211208,433A011,1,1.8831,0.8831
40211156,40BQ381,4,4.2579,0.2579
40211127,40BQ321,4,4.2325,0.2325
40211109,40BC021,3,2.5045,0.4955
40511103,40BA051,1,2.0242,1.0242
40211146,40BA101,1,2.5431,1.5431
40211148,40BA121,4,4.057,0.057
40211230,409Z491,5,4.5918,0.4082
40211144,40BC021,1,2.1075,1.1075
40411224,40B0292,5,3.0882,1.9118
40211247,40BR042,1,3.1839,2.1839
40211113,40BQ331,1,2.335,1.335
40411215,40BA062,1,2.9408,1.9408
40511133,40BA011,5,3.1076,1.8924
40211109,40BQ391,4,2.7148,1.2852
40311205,40BA102,4,3.0623,0.9377
40211206,40BA122,3,3.3979,0.3979
40211127,40BA121,4,4.095,0.095
40311206,40BA082,4,3.6363,0.3637
40311238,40BA102,3,3.3748,0.3748
40411252,40BA222,3,1.4795,1.5205
