Method,Student_ID,Course_ID,Actual,Predicted,Error
RWR_Binary,40411202,40BR472,3,4.7291,1.7291
RWR_Binary,40311247,40BA052,5,5.0,0.0
RWR_Binary,40211206,40BR122,5,4.7757,0.2243
RWR_Binary,40511218,40B0292,5,3.0,2.0
RWR_Binary,40211202,40BR342,2,4.7403,2.7403
RWR_Binary,40311256,40BA122,3,4.8988,1.8988
RWR_Binary,40211109,40BA091,1,4.7457,3.7457
RWR_Binary,40311211,40BA062,1,4.9449,3.9449
RWR_Binary,40311211,40BA012,1,4.9961,3.9961
RWR_Binary,40211148,40BQ021,4,4.8245,0.8245
RWR_Binary,40211220,40BA082,4,4.9395,0.9395
RWR_Binary,40311215,40BR372,4,4.8147,0.8147
RWR_Binary,40311207,40BA222,5,4.9966,0.0034
RWR_Binary,40211250,40BR222,4,4.7104,0.7104
RWR_Binary,40211133,40BA121,3,4.8914,1.8914
RWR_Binary,40311259,40BA122,1,4.8527,3.8527
RWR_Binary,40211138,40BQ331,3,4.7709,1.7709
RWR_Binary,40211121,40BC051,3,4.967,1.967
RWR_Binary,40311108,40BA061,2,5.0,3.0
RWR_Binary,40211125,40BC051,4,4.8286,0.8286
RWR_Binary,40411111,40BC011,1,4.8945,3.8945
RWR_Binary,40211138,40B0291,2,5.0,3.0
RWR_Binary,40311155,40BA011,4,5.0,1.0
RWR_Binary,40211217,40BA102,5,4.925,0.075
RWR_Binary,40411202,40BA062,2,4.9516,2.9516
RWR_Binary,40211106,40BQ051,4,4.7239,0.7239
RWR_Binary,40511204,40B0292,5,5.0,0.0
RWR_Binary,40211150,40BC011,3,4.9067,1.9067
RWR_Binary,40311108,40BA141,2,4.8829,2.8829
RWR_Binary,40411129,40B0291,2,5.0,3.0
RWR_Binary,40311109,40BA011,1,5.0,4.0
RWR_Binary,40411145,40BA051,1,4.9661,3.9661
RWR_Binary,40211125,40BA091,1,4.7211,3.7211
RWR_Binary,40311226,40BR072,4,4.8637,0.8637
RWR_Binary,40211135,40BA011,4,5.0,1.0
RWR_Binary,40211217,40BA092,5,4.7667,0.2333
RWR_Binary,40311134,409A011,2,4.146,2.146
RWR_Binary,40211102,40BQ391,4,4.7189,0.7189
RWR_Binary,40211117,40BQ051,4,4.6963,0.6963
RWR_Binary,40311236,40BA082,4,4.9343,0.9343
RWR_Binary,40311244,40BR072,3,4.85,1.85
RWR_Binary,40411248,40BA012,4,5.0,1.0
RWR_Binary,40311246,40BA052,3,5.0,2.0
RWR_Binary,40311140,40BQ341,5,4.6164,0.3836
RWR_Binary,40411120,40BC071,4,4.8762,0.8762
RWR_Binary,40211232,40BA012,1,4.9982,3.9982
RWR_Binary,40211102,40BA151,4,4.7366,0.7366
RWR_Binary,40411118,40BA081,1,5.0,4.0
RWR_Binary,40211156,40BQ171,3,4.7221,1.7221
RWR_Binary,40211207,40BR082,5,4.7722,0.2278
RWR_Binary,40211113,40B9662,4,4.4778,0.4778
RWR_Binary,40311150,40B0291,3,5.0,2.0
RWR_Binary,40311127,40BA061,1,5.0,4.0
RWR_Binary,40311247,40BR372,4,4.8381,0.8381
RWR_Binary,40211129,40BA101,4,4.9671,0.9671
RWR_Binary,40211127,40B0291,4,5.0,1.0
RWR_Binary,40211102,40KA393,4,1.0,3.0
RWR_Binary,40211245,40BR082,3,4.776,1.776
RWR_Binary,40411163,40BA221,3,4.8736,1.8736
RWR_Binary,40311117,40BQ341,4,4.6405,0.6405
RWR_Binary,40311111,40BA141,2,4.8875,2.8875
RWR_Binary,40211146,40BA021,2,4.9346,2.9346
RWR_Binary,40311150,40BA101,1,4.9082,3.9082
RWR_Binary,40311216,40BR022,3,4.8672,1.8672
RWR_Binary,40411150,40BA051,1,5.0,4.0
RWR_Binary,40211126,40KA513,3,4.3496,1.3496
RWR_Binary,40211126,40KE011,3,1.0,2.0
RWR_Binary,40211252,40BA052,3,5.0,2.0
RWR_Binary,40411242,40BA222,3,4.9166,1.9166
RWR_Binary,40211162,40BA091,1,4.7458,3.7458
RWR_Binary,40411129,40BQ031,3,4.8044,1.8044
RWR_Binary,40411247,40BA052,3,5.0,2.0
RWR_Binary,40211158,40BC061,3,4.7556,1.7556
RWR_Binary,40211214,40BA012,4,4.9939,0.9939
RWR_Binary,40211107,40BA141,1,4.8631,3.8631
RWR_Binary,40311256,40B8932,5,4.6401,0.3599
RWR_Binary,40211252,40BA142,5,4.7823,0.2177
RWR_Binary,40311138,40BA081,3,4.9206,1.9206
RWR_Binary,40211146,40BQ051,3,4.7389,1.7389
RWR_Binary,40311235,40K0051,1,4.0319,3.0319
RWR_Binary,40311150,40BA021,1,4.9216,3.9216
RWR_Binary,40411236,40BA082,4,4.9308,0.9308
RWR_Binary,40411120,40BC011,3,4.8878,1.8878
RWR_Binary,40311254,40BA052,3,4.9871,1.9871
RWR_Binary,40411219,40B0292,5,5.0,0.0
RWR_Binary,40311223,40B0292,3,5.0,2.0
RWR_Binary,40211117,40BC021,2,4.8407,2.8407
RWR_Binary,40211229,90B2681,4,4.2287,0.2287
RWR_Binary,40211220,40BR042,4,4.8617,0.8617
RWR_Binary,40211209,40BR222,4,4.7178,0.7178
RWR_Binary,40333126,40BA221,1,4.8418,3.8418
RWR_Binary,40211105,40BC051,2,4.8561,2.8561
RWR_Binary,40211108,40BC061,5,4.7685,0.2315
RWR_Binary,40211202,40BA102,3,4.9745,1.9745
RWR_Binary,40211261,40BA022,5,4.9651,0.0349
RWR_Binary,40311128,40BA221,3,4.9044,1.9044
RWR_Binary,40211242,40BA102,4,4.922,0.922
RWR_Binary,40211250,40BA012,3,4.9946,1.9946
RWR_Binary,40211111,40B0291,2,5.0,3.0
RWR_Binary,40211208,433A011,1,4.2557,3.2557
RWR_Binary,40211156,40BQ381,4,4.679,0.679
RWR_Binary,40211127,40BQ321,4,4.8207,0.8207
RWR_Binary,40211109,40BC021,3,4.8826,1.8826
RWR_Binary,40511103,40BA051,1,4.9946,3.9946
RWR_Binary,40211146,40BA101,1,4.9512,3.9512
RWR_Binary,40211148,40BA121,4,5.0,1.0
RWR_Binary,40211230,409Z491,5,4.5087,0.4913
RWR_Binary,40211144,40BC021,1,4.9395,3.9395
RWR_Binary,40411224,40B0292,5,5.0,0.0
RWR_Binary,40211247,40BR042,1,4.9963,3.9963
RWR_Binary,40211113,40BQ331,1,4.7645,3.7645
RWR_Binary,40411215,40BA062,1,4.9355,3.9355
RWR_Binary,40511133,40BA011,5,5.0,0.0
RWR_Binary,40211109,40BQ391,4,4.7409,0.7409
RWR_Binary,40311205,40BA102,4,4.9777,0.9777
RWR_Binary,40211206,40BA122,3,4.8766,1.8766
RWR_Binary,40211127,40BA121,4,4.8714,0.8714
RWR_Binary,40311206,40BA082,4,4.947,0.947
RWR_Binary,40311238,40BA102,3,4.9087,1.9087
RWR_Binary,40411252,40BA222,3,4.9041,1.9041
RWR_Binary,40311217,40BA102,3,4.9168,1.9168
RWR_Binary,40311232,40BA062,1,5.0,4.0
