Method,K_Value,MAE,RMSE,NDCG,Failed_Predictions (NaN)
User_Rating,1,5.0,5.0,0.8745716989772111,1813
User_Rating,3,5.0,5.0,0.8745716989772111,1813
User_Rating,5,5.0,5.0,0.8745716989772111,1813
User_Rating,7,5.0,5.0,0.8745716989772111,1813
User_Rating,9,5.0,5.0,0.8745716989772111,1813
User_Content,1,5.0,5.0,0.8745716989772111,1813
User_Content,3,5.0,5.0,0.8745716989772111,1813
User_Content,5,5.0,5.0,0.8745716989772111,1813
User_Content,7,5.0,5.0,0.8745716989772111,1813
User_Content,9,5.0,5.0,0.8745716989772111,1813
User_Hybrid,1,5.0,5.0,0.8745716989772111,1813
User_Hybrid,3,5.0,5.0,0.8745716989772111,1813
User_Hybrid,5,5.0,5.0,0.8745716989772111,1813
User_Hybrid,7,5.0,5.0,0.8745716989772111,1813
User_Hybrid,9,5.0,5.0,0.8745716989772111,1813
Item_Rating,1,5.0,5.0,0.8745716989772111,1813
Item_Rating,3,5.0,5.0,0.8745716989772111,1813
Item_Rating,5,5.0,5.0,0.8745716989772111,1813
Item_Rating,7,5.0,5.0,0.8745716989772111,1813
Item_Rating,9,5.0,5.0,0.8745716989772111,1813
Item_Content,1,5.0,5.0,0.8745716989772111,1813
Item_Content,3,5.0,5.0,0.8745716989772111,1813
Item_Content,5,5.0,5.0,0.8745716989772111,1813
Item_Content,7,5.0,5.0,0.8745716989772111,1813
Item_Content,9,5.0,5.0,0.8745716989772111,1813
Item_Hybrid,1,5.0,5.0,0.8745716989772111,1813
Item_Hybrid,3,5.0,5.0,0.8745716989772111,1813
Item_Hybrid,5,5.0,5.0,0.8745716989772111,1813
Item_Hybrid,7,5.0,5.0,0.8745716989772111,1813
Item_Hybrid,9,5.0,5.0,0.8745716989772111,1813
