Student_ID,Course_ID,Actual,Predicted,Error
40411202,40BR472,3,2.899,0.101
40311247,40BA052,5,4.3103,0.6897
40211206,40BR122,5,2.903,2.097
40511218,40B0292,5,3.5019,1.4981
40211202,40BR342,2,3.1944,1.1944
40311256,40BA122,3,4.2047,1.2047
40211109,40BA091,1,2.903,1.903
40311211,40BA062,1,2.8872,1.8872
40311211,40BA012,1,2.8824,1.8824
40211148,40BQ021,4,2.903,1.097
40211220,40BA082,4,4.3083,0.3083
40311215,40BR372,4,3.3892,0.6108
40311207,40BA222,5,3.598,1.402
40211250,40BR222,4,3.2902,0.7098
40211133,40BA121,3,2.903,0.097
40311259,40BA122,1,3.8976,2.8976
40211138,40BQ331,3,3.7885,0.7885
40211121,40BC051,3,2.2077,0.7923
40311108,40BA061,2,2.903,0.903
40211125,40BC051,4,3.5955,0.4045
40411111,40BC011,1,1.0,0.0
40211138,40B0291,2,2.903,0.903
40311155,40BA011,4,2.903,1.097
40211217,40BA102,5,3.8966,1.1034
40411202,40BA062,2,2.986,0.986
40211106,40BQ051,4,2.8004,1.1996
40511204,40B0292,5,2.4981,2.5019
40211150,40BC011,3,3.6927,0.6927
40311108,40BA141,2,3.1367,1.1367
40411129,40B0291,2,2.903,0.903
40311109,40BA011,1,2.903,1.903
40411145,40BA051,1,2.903,1.903
40211125,40BA091,1,2.903,1.903
40311226,40BR072,4,3.6007,0.3993
40211135,40BA011,4,2.903,1.097
40211217,40BA092,5,2.903,2.097
40311134,409A011,2,2.903,0.903
40211102,40BQ391,4,3.9967,0.0033
40211117,40BQ051,4,2.9802,1.0198
40311236,40BA082,4,4.1018,0.1018
40311244,40BR072,3,3.4974,0.4974
40411248,40BA012,4,3.5251,0.4749
40311246,40BA052,3,1.68,1.32
40311140,40BQ341,5,3.5901,1.4099
40411120,40BC071,4,4.3811,0.3811
40211232,40BA012,1,1.9926,0.9926
40211102,40BA151,4,2.903,1.097
40411118,40BA081,1,2.903,1.903
