Student_ID,Course_ID,Actual,Predicted,Error
40411202,40BR472,3,2.903,0.097
40311247,40BA052,5,4.8049,0.1951
40211206,40BR122,5,4.7959,0.2041
40511218,40B0292,5,4.3193,0.6807
40211202,40BR342,2,3.4049,1.4049
40311256,40BA122,3,3.2085,0.2085
40211109,40BA091,1,1.188,0.188
40311211,40BA062,1,1.8056,0.8056
40311211,40BA012,1,3.3893,2.3893
40211148,40BQ021,4,3.2856,0.7144
40211220,40BA082,4,2.9984,1.0016
40311215,40BR372,4,2.903,1.097
40311207,40BA222,5,4.0162,0.9838
40211250,40BR222,4,4.1081,0.1081
40211133,40BA121,3,3.603,0.603
40311259,40BA122,1,2.903,1.903
40211138,40BQ331,3,2.4138,0.5862
40211121,40BC051,3,3.5822,0.5822
40311108,40BA061,2,3.007,1.007
40211125,40BC051,4,2.8505,1.1495
40411111,40BC011,1,2.903,1.903
40211138,40B0291,2,3.0014,1.0014
40311155,40BA011,4,2.903,1.097
40211217,40BA102,5,2.9699,2.0301
40411202,40BA062,2,2.903,0.903
40211106,40BQ051,4,3.5956,0.4044
40511204,40B0292,5,3.7097,1.2903
40211150,40BC011,3,2.3866,0.6134
40311108,40BA141,2,2.2127,0.2127
40411129,40B0291,2,2.903,0.903
40311109,40BA011,1,2.903,1.903
40411145,40BA051,1,2.903,1.903
40211125,40BA091,1,1.8573,0.8573
40311226,40BR072,4,3.397,0.603
40211135,40BA011,4,2.903,1.097
40211217,40BA092,5,4.3769,0.6231
40311134,409A011,2,2.3185,0.3185
40211102,40BQ391,4,4.3092,0.3092
40211117,40BQ051,4,2.903,1.097
40311236,40BA082,4,4.2009,0.2009
40311244,40BR072,3,2.903,0.097
40411248,40BA012,4,2.903,1.097
40311246,40BA052,3,2.903,0.097
40311140,40BQ341,5,4.6045,0.3955
40411120,40BC071,4,2.903,1.097
40211232,40BA012,1,2.903,1.903
40211102,40BA151,4,4.0116,0.0116
40411118,40BA081,1,2.903,1.903
40211156,40BQ171,3,3.7794,0.7794
40211207,40BR082,5,4.0026,0.9974
40211113,40B9662,4,4.3146,0.3146
40311150,40B0291,3,2.903,0.097
40311127,40BA061,1,2.903,1.903
40311247,40BR372,4,4.4927,0.4927
40211129,40BA101,4,3.0193,0.9807
40211127,40B0291,4,2.7447,1.2553
40211102,40KA393,4,4.0191,0.0191
40211245,40BR082,3,4.0981,1.0981
40411163,40BA221,3,2.903,0.097
40311117,40BQ341,4,4.9017,0.9017
40311111,40BA141,2,2.6836,0.6836
40211146,40BA021,2,3.7998,1.7998
40311150,40BA101,1,2.903,1.903
40311216,40BR022,3,3.2006,0.2006
40411150,40BA051,1,2.903,1.903
40211126,40KA513,3,3.9177,0.9177
40211126,40KE011,3,3.4589,0.4589
40211252,40BA052,3,2.4099,0.5901
40411242,40BA222,3,2.903,0.097
40211162,40BA091,1,1.4318,0.4318
