"id","sex","bloodtype","star","hobby","color","season","fruit","music","movie","food","travel","seat","desktop","creative","personality"
"40211203","92","3","8","18","25","36","41","50","61","66","73","78","83","86","90"
"40211225","91","3","15","23","32","36","44","50","62","67","74","78","82","85","88"
"40211242","91","2","6","17","24","36","39","55","60","69","74","78","81","86","87"
"40211261","91","3","15","17","30","36","38","53","58","68","74","78","81","85","87"
"40211151","92","1","8","19","26","37","48","50","60","70","74","78","83","86","88"
"40211223","92","1","12","23","33","36","48","53","59","71","73","80","81","85","87"
"40211213","91","3","11","19","29","36","39","53","58","66","74","78","81","85","88"
"40211249","92","3","11","19","31","37","38","50","65","67","74","78","82","86","87"
"40211206","92","3","12","19","32","36","39","50","59","70","76","78","81","85","88"
"40211217","92","4","5","23","28","36","44","53","58","68","74","78","82","85","88"
"40211257","91","1","14","18","30","36","47","53","58","69","75","78","82","85","87"
"40211214","91","2","9","18","29","35","44","51","58","67","74","78","81","85","87"
"40211202","91","3","8","23","32","35","38","57","63","71","75","78","81","85","87"
"40211241","92","2","16","19","27","34","38","53","61","69","75","78","81","85","87"
"40211230","91","2","8","19","30","34","38","50","58","66","75","78","81","85","87"
"40211234","92","1","10","23","27","34","38","56","60","71","76","79","82","85","88"
"40211246","92","1","5","17","24","34","38","50","58","66","73","78","81","85","87"
"40211227","92","1","5","17","24","34","38","50","58","66","73","78","81","85","87"
"40211201","92","1","5","17","24","34","38","50","58","66","73","78","81","85","87"
"40211228","91","2","13","19","30","35","43","53","59","66","74","78","81","85","87"
"40211121","91","1","14","23","27","37","44","55","62","66","74","78","81","86","87"
"40211150","91","1","15","23","25","36","48","53","61","66","73","80","81","86","87"
"40211156","91","2","13","23","30","36","38","57","59","67","74","78","82","86","90"
"40211110","91","3","16","23","33","37","39","55","60","67","77","80","82","85","89"
"40211148","91","3","11","17","28","36","38","53","58","67","73","78","81","86","88"
"40211102","92","3","12","21","32","34","43","53","62","70","73","78","81","85","87"
"40211136","92","2","15","19","32","36","43","57","64","72","76","78","81","85","90"
"40211123","91","2","6","18","30","34","40","53","59","69","73","78","82","85","89"
"40211118","91","3","12","20","24","34","38","52","59","71","74","78","81","85","87"
"40211127","91","3","7","21","27","36","44","50","60","69","74","79","81","85","87"
"40211165","91","1","8","23","26","36","48","57","61","69","74","78","83","85","90"
"40211122","91","1","12","23","30","35","39","53","64","68","75","78","81","86","90"
"40211101","92","3","6","19","30","35","40","53","60","67","73","79","83","86","87"
"40211205","91","3","10","23","27","36","48","50","61","66","74","78","81","85","89"
"40211106","91","1","7","23","30","36","44","53","63","69","74","78","82","86","87"
"40211259","91","4","15","23","24","34","45","53","64","66","73","78","83","86","90"
"40211235","92","2","8","19","28","34","38","50","58","72","73","78","81","85","87"
"40211207","92","1","8","23","29","37","38","50","60","66","74","78","81","85","90"
"40211153","92","4","8","21","28","36","47","53","63","67","76","78","81","85","89"
"40211158","91","3","5","17","24","34","38","50","58","66","73","78","81","85","87"
"40211226","91","3","12","20","30","37","45","52","59","72","74","78","82","85","88"
