Model,Student_ID,Course_ID,Actual,Predicted,Error,Method
GCN,40211129,40BQ371,3.0,2.7319,0.2681,
GCN,40311208,40BA062,4.0,3.8334,0.1666,
GCN,40211219,40B0292,4.0,4.6232,0.6232,
GCN,40311213,40BA012,1.0,4.9612,3.9612,
GCN,40311233,40BR022,3.0,3.0741,0.0741,
GCN,40511128,40BA051,1.0,4.676,3.676,
GCN,40211217,40BA082,3.0,3.7441,0.7441,
GCN,40211262,40BD012,4.0,3.7749,0.2251,
RWR,40511262,40B0292,2.0,5.0,3.0,RWR_Linear
RWR,40311201,40B8932,5.0,5.0,0.0,RWR_Softmax(T=0.3)
RWR,40311235,40BA222,1.0,4.8262,3.8262,RWR_Linear
RWR,40211116,40BQ331,3.0,4.7982,1.7982,RWR_Linear
RWR,40211105,40BC021,3.0,4.891,1.891,RWR_Binary
RWR,40211114,40BQ321,1.0,4.8553,3.8553,RWR_Linear
RWR,40311217,40BD012,4.0,4.9383,0.9383,RWR_Binary
RWR,40211147,40BA121,1.0,4.3083,3.3083,RWR_Softmax(T=0.3)
MF,40211129,40BQ371,3.0,4.2675,1.2675,
MF,40311208,40BA062,4.0,2.7666,1.2334,
MF,40211219,40B0292,4.0,3.4574,0.5426,
MF,40311213,40BA012,1.0,2.6382,1.6382,
MF,40311233,40BR022,3.0,2.9387,0.0613,
MF,40511128,40BA051,1.0,1.863,0.863,
MF,40211217,40BA082,3.0,3.7554,0.7554,
MF,40211262,40BD012,4.0,4.0177,0.0177,
CF (similarity_6ways),40211206,40BA062,4.0,4.2338,0.2338,Item_Content
CF (similarity_6ways),40411209,40BR022,2.0,1.5804,0.4196,Item_Rating
CF (similarity_6ways),40311233,40BA052,5.0,3.0124,1.9876,Item_Rating
CF (similarity_6ways),40511262,40B0292,2.0,3.0,1.0,Item_Hybrid
CF (similarity_6ways),40211207,40BA142,5.0,3.6874,1.3126,Item_Content
CF (similarity_6ways),40211206,409Z501,5.0,5.0,0.0,User_Content
CF (similarity_6ways),40211242,40BA012,4.0,4.6533,0.6533,Item_Rating
CF (similarity_6ways),40311122,40BQ031,2.0,2.9977,0.9977,Item_Content
