Student_ID,Course_ID,Actual,Predicted,Error
40411202,40BR472,3,2.9712,0.0288
40311247,40BA052,5,3.8906,1.1094
40211206,40BR122,5,2.903,2.097
40511218,40B0292,5,3.4965,1.5035
40211202,40BR342,2,3.1724,1.1724
40311256,40BA122,3,3.9062,0.9062
40211109,40BA091,1,2.903,1.903
40311211,40BA062,1,2.9891,1.9891
40311211,40BA012,1,3.0867,2.0867
40211148,40BQ021,4,2.903,1.097
40211220,40BA082,4,4.0221,0.0221
40311215,40BR372,4,3.5192,0.4808
40311207,40BA222,5,3.7843,1.2157
40211250,40BR222,4,3.4096,0.5904
40211133,40BA121,3,2.903,0.097
40311259,40BA122,1,3.3506,2.3506
40211138,40BQ331,3,3.631,0.631
40211121,40BC051,3,2.4056,0.5944
40311108,40BA061,2,2.903,0.903
40211125,40BC051,4,3.6412,0.3588
40411111,40BC011,1,1.0,0.0
40211138,40B0291,2,2.903,0.903
40311155,40BA011,4,2.903,1.097
40211217,40BA102,5,3.8216,1.1784
40411202,40BA062,2,2.96,0.96
40211106,40BQ051,4,2.8797,1.1203
40511204,40B0292,5,2.5035,2.4965
40211150,40BC011,3,3.5471,0.5471
40311108,40BA141,2,3.1284,1.1284
40411129,40B0291,2,2.903,0.903
40311109,40BA011,1,2.903,1.903
40411145,40BA051,1,2.903,1.903
40211125,40BA091,1,2.903,1.903
40311226,40BR072,4,3.4331,0.5669
40211135,40BA011,4,2.903,1.097
40211217,40BA092,5,2.903,2.097
40311134,409A011,2,2.903,0.903
40211102,40BQ391,4,3.7141,0.2859
40211117,40BQ051,4,2.4846,1.5154
40311236,40BA082,4,3.9979,0.0021
40311244,40BR072,3,3.2136,0.2136
40411248,40BA012,4,3.6225,0.3775
40311246,40BA052,3,1.7224,1.2776
40311140,40BQ341,5,3.7043,1.2957
40411120,40BC071,4,4.4301,0.4301
40211232,40BA012,1,1.9921,0.9921
40211102,40BA151,4,2.903,1.097
40411118,40BA081,1,2.903,1.903
40211156,40BQ171,3,2.903,0.097
40211207,40BR082,5,2.903,2.097
40211113,40B9662,4,3.078,0.922
40311150,40B0291,3,2.903,0.097
40311127,40BA061,1,2.903,1.903
40311247,40BR372,4,3.3303,0.6697
40211129,40BA101,4,2.903,1.097
40211127,40B0291,4,2.903,1.097
40211102,40KA393,4,2.903,1.097
40211245,40BR082,3,2.903,0.097
40411163,40BA221,3,2.903,0.097
40311117,40BQ341,4,3.4641,0.5359
40311111,40BA141,2,2.9698,0.9698
40211146,40BA021,2,2.903,0.903
40311150,40BA101,1,2.903,1.903
40311216,40BR022,3,3.1239,0.1239
40411150,40BA051,1,2.903,1.903
40211126,40KA513,3,3.4269,0.4269
40211126,40KE011,3,3.493,0.493
40211252,40BA052,3,4.1221,1.1221
40411242,40BA222,3,2.556,0.444
40211162,40BA091,1,2.903,1.903
40411129,40BQ031,3,1.0,2.0
40411247,40BA052,3,3.1944,0.1944
40211158,40BC061,3,2.6414,0.3586
40211214,40BA012,4,2.0068,1.9932
40211107,40BA141,1,2.1245,1.1245
40311256,40B8932,5,4.0624,0.9376
40211252,40BA142,5,2.903,2.097
40311138,40BA081,3,2.903,0.097
40211146,40BQ051,3,2.7865,0.2135
40311235,40K0051,1,2.903,1.903
40311150,40BA021,1,2.903,1.903
40411236,40BA082,4,3.35,0.65
40411120,40BC011,3,4.6807,1.6807
40311254,40BA052,3,3.1224,0.1224
40411219,40B0292,5,3.4645,1.5355
40311223,40B0292,3,2.3728,0.6272
40211117,40BC021,2,2.609,0.609
40211229,90B2681,4,2.903,1.097
40211220,40BR042,4,3.9896,0.0104
40211209,40BR222,4,2.4856,1.5144
40333126,40BA221,1,2.903,1.903
40211105,40BC051,2,1.7487,0.2513
40211108,40BC061,5,3.5255,1.4745
40211202,40BA102,3,3.0006,0.0006
40211261,40BA022,5,3.6361,1.3639
40311128,40BA221,3,2.903,0.097
40211242,40BA102,4,4.6064,0.6064
40211250,40BA012,3,3.4055,0.4055
40211111,40B0291,2,2.903,0.903
40211208,433A011,1,2.903,1.903
40211156,40BQ381,4,3.5085,0.4915
40211127,40BQ321,4,4.6077,0.6077
40211109,40BC021,3,2.5631,0.4369
40511103,40BA051,1,2.903,1.903
40211146,40BA101,1,2.903,1.903
40211148,40BA121,4,2.903,1.097
40211230,409Z491,5,4.1824,0.8176
40211144,40BC021,1,1.41,0.41
40411224,40B0292,5,2.5566,2.4434
40211247,40BR042,1,3.1582,2.1582
40211113,40BQ331,1,2.7752,1.7752
40411215,40BA062,1,2.9083,1.9083
40511133,40BA011,5,2.903,2.097
40211109,40BQ391,4,2.6517,1.3483
40311205,40BA102,4,3.0102,0.9898
40211206,40BA122,3,3.606,0.606
40211127,40BA121,4,2.903,1.097
40311206,40BA082,4,2.8892,1.1108
40311238,40BA102,3,3.081,0.081
40411252,40BA222,3,1.4884,1.5116
40311217,40BA102,3,2.9067,0.0933
40311232,40BA062,1,2.1892,1.1892
40211228,409Z511,4,3.8257,0.1743
40411230,40BA062,1,2.5923,1.5923
40211113,40BA131,3,2.903,0.097
40211259,40BD052,4,2.7848,1.2152
40211132,40B0291,2,2.903,0.903
40211234,40BD032,4,3.2966,0.7034
40411133,40BA081,1,2.903,1.903
40311166,40BQ311,3,2.0,1.0
40211228,40BR032,4,2.903,1.097
40211111,40BC011,1,2.5421,1.5421
40311214,40BA052,3,2.0127,0.9873
40211264,40BD012,1,1.5115,0.5115
40211108,40BC021,4,3.5247,0.4753
40311137,40BC021,5,3.0728,1.9272
40311123,40B0291,2,2.903,0.903
40211219,40BA152,4,3.6719,0.3281
40211104,40BA121,3,2.903,0.097
40411128,40BA061,3,2.903,0.097
40511246,40BA012,4,4.0031,0.0031
40211141,40BA101,3,2.903,0.097
40311226,40BR022,3,3.4912,0.4912
40211267,40BA132,3,3.3129,0.3129
40411217,40BA062,5,3.8089,1.1911
40211242,40BA022,4,4.5948,0.5948
40411230,40BA082,2,2.488,0.488
40211142,40BQ021,1,2.903,1.903
40411208,40BR022,3,2.9791,0.0209
40311206,40BA222,3,3.3552,0.3552
40211237,40BA102,3,2.5251,0.4749
40211205,40B0292,5,3.7632,1.2368
40311250,40UN160,4,4.5613,0.5613
40511238,40BA052,4,5.0,1.0
40311121,40BA051,3,2.903,0.097
40211257,40BA102,1,1.8415,0.8415
40311122,40BA121,2,2.903,0.903
40411141,40BA101,1,2.903,1.903
40511209,40B0292,4,3.0,1.0
40311261,40B8932,4,3.8068,0.1932
40211117,40UN110,4,2.5362,1.4638
40311201,40BA122,5,4.4728,0.5272
40211246,40BA062,5,4.1366,0.8634
40311114,40BQ341,5,3.1844,1.8156
40311224,40BA022,1,1.1676,0.1676
40311229,40BA132,5,3.7123,1.2877
40311112,40BQ341,5,3.1409,1.8591
40211105,40BQ171,1,2.903,1.903
40311221,40BA062,1,2.4342,1.4342
40211248,40BR342,3,3.3625,0.3625
40211246,40BA082,3,4.2851,1.2851
40211105,40BA121,3,2.903,0.097
40411227,40BA052,4,3.9518,0.0482
40211262,40BD012,4,3.7995,0.2005
40411115,40BA021,2,2.903,0.903
40311121,40BA021,3,2.903,0.097
40411207,40B0292,4,2.3147,1.6853
40411140,40BQ311,2,1.9401,0.0599
40311264,4069582,2,3.017,1.017
40311119,40BA131,2,2.903,0.903
40411210,40BA062,3,3.7005,0.7005
40411202,40BA082,3,2.8759,0.1241
40411164,40BA101,2,2.903,0.903
40211229,40BR122,5,2.903,2.097
40511217,40B0292,4,1.4965,2.5035
40211259,40BA122,2,3.0659,1.0659
40211255,40BD032,3,2.3207,0.6793
40211142,40BA061,4,2.903,1.097
40211249,40BR042,2,3.1151,1.1151
40311148,40BC071,3,1.8571,1.1429
40311232,40BQ512,3,2.5824,0.4176
40211161,40B9651,3,2.6507,0.3493
40211209,40BA082,2,2.3718,0.3718
40311209,40B0292,1,1.851,0.851
40311259,40BA052,5,3.1945,1.8055
40411237,40BD012,3,1.3196,1.6804
40411219,40BA052,3,3.7357,0.7357
40211213,40BA132,1,2.0175,1.0175
