Student_ID,Course_ID,Actual,Predicted,Error
40411202,40BR472,3,2.903,0.097
40311247,40BA052,5,4.3982,0.6018
40211206,40BR122,5,4.8043,0.1957
40511218,40B0292,5,4.8999,0.1001
40211202,40BR342,2,3.5986,1.5986
40311256,40BA122,3,3.3019,0.3019
40211109,40BA091,1,2.0329,1.0329
40311211,40BA062,1,1.3006,0.3006
40311211,40BA012,1,2.0947,1.0947
40211148,40BQ021,4,3.2006,0.7994
40211220,40BA082,4,3.3919,0.6081
40311215,40BR372,4,2.903,1.097
40311207,40BA222,5,4.0007,0.9993
40211250,40BR222,4,4.3076,0.3076
40211133,40BA121,3,3.604,0.604
40311259,40BA122,1,2.903,1.903
40211138,40BQ331,3,2.6048,0.3952
40211121,40BC051,3,3.1959,0.1959
40311108,40BA061,2,3.001,1.001
40211125,40BC051,4,3.2756,0.7244
40411111,40BC011,1,2.903,1.903
40211138,40B0291,2,2.7075,0.7075
40311155,40BA011,4,2.903,1.097
40211217,40BA102,5,3.6868,1.3132
40411202,40BA062,2,2.903,0.903
40211106,40BQ051,4,3.6857,0.3143
40511204,40B0292,5,4.4989,0.5011
40211150,40BC011,3,2.19,0.81
40311108,40BA141,2,2.6973,0.6973
40411129,40B0291,2,2.903,0.903
40311109,40BA011,1,2.903,1.903
40411145,40BA051,1,2.903,1.903
40211125,40BA091,1,2.4842,1.4842
40311226,40BR072,4,3.6997,0.3003
40211135,40BA011,4,2.903,1.097
40211217,40BA092,5,4.4047,0.5953
40311134,409A011,2,2.5816,0.5816
40211102,40BQ391,4,4.3039,0.3039
40211117,40BQ051,4,2.903,1.097
40311236,40BA082,4,4.099,0.099
40311244,40BR072,3,2.903,0.097
40411248,40BA012,4,2.903,1.097
40311246,40BA052,3,2.903,0.097
40311140,40BQ341,5,4.5041,0.4959
40411120,40BC071,4,2.903,1.097
40211232,40BA012,1,2.903,1.903
40211102,40BA151,4,4.0966,0.0966
40411118,40BA081,1,2.903,1.903
40211156,40BQ171,3,3.7072,0.7072
40211207,40BR082,5,3.8014,1.1986
40211113,40B9662,4,4.3739,0.3739
40311150,40B0291,3,2.903,0.097
40311127,40BA061,1,2.903,1.903
40311247,40BR372,4,4.4963,0.4963
40211129,40BA101,4,2.7601,1.2399
40211127,40B0291,4,2.9223,1.0777
40211102,40KA393,4,3.9678,0.0322
40211245,40BR082,3,4.0053,1.0053
40411163,40BA221,3,2.903,0.097
40311117,40BQ341,4,4.6018,0.6018
40311111,40BA141,2,2.6028,0.6028
40211146,40BA021,2,3.1905,1.1905
40311150,40BA101,1,2.903,1.903
40311216,40BR022,3,3.4,0.4
40411150,40BA051,1,2.903,1.903
40211126,40KA513,3,3.9725,0.9725
40211126,40KE011,3,3.4863,0.4863
40211252,40BA052,3,2.3977,0.6023
40411242,40BA222,3,2.903,0.097
40211162,40BA091,1,1.762,0.762
40411129,40BQ031,3,2.903,0.097
40411247,40BA052,3,2.903,0.097
40211158,40BC061,3,2.9227,0.0773
40211214,40BA012,4,3.4884,0.5116
40211107,40BA141,1,2.4057,1.4057
40311256,40B8932,5,4.5014,0.4986
40211252,40BA142,5,4.1103,0.8897
40311138,40BA081,3,3.8072,0.8072
40211146,40BQ051,3,3.8923,0.8923
40311235,40K0051,1,2.903,1.903
40311150,40BA021,1,2.903,1.903
40411236,40BA082,4,2.903,1.097
40411120,40BC011,3,2.903,0.097
40311254,40BA052,3,2.903,0.097
40411219,40B0292,5,2.903,2.097
40311223,40B0292,3,2.6032,0.3968
40211117,40BC021,2,2.903,0.903
40211229,90B2681,4,4.0,0.0
40211220,40BR042,4,2.308,1.692
40211209,40BR222,4,3.6985,0.3015
40333126,40BA221,1,2.903,1.903
40211105,40BC051,2,2.9788,0.9788
40211108,40BC061,5,3.6187,1.3813
40211202,40BA102,3,4.0183,1.0183
40211261,40BA022,5,3.802,1.198
40311128,40BA221,3,3.3158,0.3158
40211242,40BA102,4,3.7962,0.2038
40211250,40BA012,3,3.2013,0.2013
40211111,40B0291,2,2.1916,0.1916
40211208,433A011,1,2.903,1.903
40211156,40BQ381,4,3.6024,0.3976
40211127,40BQ321,4,3.5045,0.4955
40211109,40BC021,3,3.2974,0.2974
40511103,40BA051,1,2.903,1.903
40211146,40BA101,1,2.7014,1.7014
40211148,40BA121,4,3.6963,0.3037
40211230,409Z491,5,4.4147,0.5853
40211144,40BC021,1,2.903,1.903
40411224,40B0292,5,2.903,2.097
40211247,40BR042,1,2.9475,1.9475
40211113,40BQ331,1,2.6584,1.6584
40411215,40BA062,1,2.903,1.903
40511133,40BA011,5,2.903,2.097
40211109,40BQ391,4,3.9881,0.0119
40311205,40BA102,4,2.903,1.097
40211206,40BA122,3,3.0972,0.0972
40211127,40BA121,4,3.7311,0.2689
40311206,40BA082,4,2.903,1.097
40311238,40BA102,3,3.6999,0.6999
40411252,40BA222,3,2.903,0.097
40311217,40BA102,3,3.6003,0.6003
40311232,40BA062,1,2.903,1.903
40211228,409Z511,4,3.7152,0.2848
40411230,40BA062,1,2.903,1.903
40211113,40BA131,3,3.8808,0.8808
